scope_id,artifact_id,artifact_type,primary_source,revision,license_status,license_scope,attribution_ready,terms_ready,hash_metadata_ready,payload_size_known,zero_cost,acquisition_eligible_under_lab_policy,human_authorization_required,current_decision,primary_blocker,next_action,evidence,t6c_gate
QALD9_PLUS_EN_DBPEDIA_payload,qald_9_plus_train_test_dbpedia,dataset_payload,Perevalov/qald_9_plus,8eb038a61e1bc09cbd21640aa667a1714f53cda4,CC-BY-4.0_PINNED,dataset,template_ready,cc_page_inventoried,git_blob_oids_known,true_from_tree,true,true,true,ELIGIBLE_FOR_T6A_PACKAGE_NOT_AUTHORIZED,HUMAN_AUTH,T6A,QALD9PLUS_ACQUISITION_ELIGIBILITY.md,
QALD9_PLUS_EN_WIKIDATA_payload,qald_9_plus_wikidata,dataset_payload,Perevalov/qald_9_plus,8eb038a61e1bc09cbd21640aa667a1714f53cda4,CC-BY-4.0_PINNED,dataset,template_ready,cc_page_inventoried,true,true,true,true_secondary_view,true,ELIGIBLE_AFTER_PRIMARY_OR_WITH_PRIMARY,HUMAN_AUTH,T6A_optional,same,
LCQUAD2_authors_payload,LC-QuAD2.0_dataset,dataset_payload,AskNowQA/LC-QuAD2.0,0a5f8f85b6f863c3b80f0fa02839e25d438af3ae,ABSENT,LICENSE_SCOPE_UNCLEAR,false,false,git_blob_oids,true,true,false,true,HOLD_T6C_CLOSED,LICENSE_OR_AUTHORITY,backlog_not_critical_path,LCQUAD2_LICENSE_SCOPE_DECISION.md,LCQUAD2_SCOPE_CLARIFIED_ALL_REPRESENTATIONS_HOLD
LCQUAD2_HF_representation,mohnish/lc_quad,dataset_mirror,HF,b054a263…,cc-by-3.0_card,card_only,UNKNOWN,UNKNOWN,false,partial,true,false,true,HOLD_T6C_CLOSED,LICENSE_OR_AUTHORITY,backlog_not_critical_path,HF_card,LCQUAD2_SCOPE_CLARIFIED_ALL_REPRESENTATIONS_HOLD
DBpedia_graph_snapshot,dbpedia_snapshot,graph,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false,TERMS_REVIEW_PENDING,false,false,unknown,false,true,HOLD_G4,GRAPH_SNAPSHOT_PENDING,graph_gate,GRAPH_LEGAL,
Wikidata_graph_snapshot,wikidata_snapshot,graph,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false,TERMS_REVIEW_PENDING,false,false,unknown,false,true,HOLD_G4,GRAPH_SNAPSHOT_PENDING,graph_gate,GRAPH_LEGAL,
GPT2_artifacts,gpt2,model,HF,UNKNOWN,UNKNOWN,model,false,TERMS_REVIEW_PENDING,false,false,true_download_free_possible,false,true,HOLD,MODEL_TERMS,model_review,MODEL_MATRIX,
SPARQL_LLM_embedding,e5-large,embedding,HF,lab_documented,UNKNOWN_CARD,model,false,TERMS_REVIEW_PENDING,partial,partial,true,false,true,HOLD,MODEL_TERMS,model_review,MODEL_MATRIX,
SGPT_preprocessing,sgpt_features,derived,method_local,sgpt_pin,depends_dataset,derivative,false,false,local_sha,true,true,false,true,HOLD,DERIVATIVE_SCOPE,after_dataset,AUX,
RDFCONFIG_Zenodo_archive,zenodo_18539214,source_archive,Zenodo,v1.0.0,CC-BY-4.0_metadata,archive,true,cc,md5_published,23977650,true,conditional_content_verify,true,CANDIDATE_PENDING_CONTENT_VERIFICATION,ARCHIVE_CONTENT_EQUIVALENCE_NOT_VERIFIED,separate_from_T6A_QALD,RDFCONFIG_SOURCE,
FIRESPARQL_HF_checkpoint,Sherry791/…ft4sciqa,checkpoint,HF,8a44fbe3710f40d8890392ef585101f5ca51851b,card_mit,checkpoint_card,UNKNOWN,base_llama_pending,revision,false,true,false,true,HOLD,BASE_MODEL_TERMS+G3C,model_review,MODEL_MATRIX,
CoT_external_artifacts,codellama_linkers_indices,mixed,external,UNKNOWN,UNKNOWN,UNKNOWN,false,false,false,false,unknown,false,true,HOLD,G3C+ARTIFACTS,none,cot,
