method_id,variant_id,contract_defined,contract_class,license_gate,dataset_gate,graph_gate,metric_runtime_gate,artifact_gate,runtime_gate,cost_gate,implementation_candidate_after_gates,current_common_adapter_allowed,primary_blocker,secondary_blockers,next_required_action,evidence
sparql_llm,sparql_llm_schema_common_native,true,ADAPTER_CONTRACT_DEFINED,LEGAL_VERIFIED_MIT,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,schema_index,RUNTIME_PENDING,ZERO_COST_blocks_online,true,false,cost_or_G4_G5,online_policy,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
sparql_llm,sparql_llm_schema_common_internal_feedback,true,ADAPTER_CONTRACT_DEFINED,LEGAL_VERIFIED_MIT,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,endpoint,G4,ZERO_COST,true,false,G4,cost,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
sgpt,sgpt_q,true,ADAPTER_CONTRACT_DEFINED,LEGAL_VERIFIED_MIT,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,checkpoint,RUNTIME_PENDING,0,true,false,dataset+checkpoint,G4_G5,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
sgpt,sgpt_qk,true,ADAPTER_CONTRACT_DEFINED,LEGAL_VERIFIED_MIT,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,checkpoint+oracle,RUNTIME_PENDING,0,true,false,dataset+oracle_mat,G4_G5,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
mkgqagent,mkgqagent_q_only_agentic,true,CONTRACT_BLOCKED_LEGAL,LICENSE_NOT_CONFIRMED,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,hub,RUNTIME_PENDING,ZERO_COST,false,false,LICENSE,runtime_cost,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
rdfconfig_llm,rdfconfig_domain_native,true,CONTRACT_DOMAIN_NATIVE_ONLY,LICENSE_NOT_CONFIRMED,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,domain_ok,RUNTIME_PENDING,ZERO_COST,false,false,LICENSE,domain_only,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
rdfconfig_llm,rdfconfig_schema_common_dbpedia,true,ADAPTER_NEGATIVE_CONTRACT_DEFINED,LICENSE_NOT_CONFIRMED,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,MISSING_COMMON_BUNDLE,n_a,n_a,false,false,MISSING_ARTIFACT,LICENSE,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
cot_sparql,cot_native_external_services,true,CONTRACT_BLOCKED_LEGAL,LICENSE_NOT_CONFIRMED,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,MISSING,CONTRACT_BLOCKED_RUNTIME,ZERO_COST,false,false,LICENSE,runtime_artifacts_GPU,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
cot_sparql,cot_common_frozen_grounding,true,ADAPTER_CONTRACT_DEFINED,LICENSE_NOT_CONFIRMED,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,manifest,CONTRACT_BLOCKED_RUNTIME,ZERO_COST,false,false,LICENSE,runtime,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
firesparql,firesparql_raw_generation,true,CONTRACT_DOMAIN_NATIVE_ONLY,LICENSE_NOT_CONFIRMED,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,MISSING_SURFACE,MISSING_SURFACE,n_a,false,false,LICENSE,missing_trainer_runner,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
firesparql,firesparql_cleaned_generation,true,CONTRACT_DOMAIN_NATIVE_ONLY,LICENSE_NOT_CONFIRMED,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,MISSING,POLICY,ZERO_COST,false,false,LICENSE,paid_cleaning,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
firesparql,firesparql_rag,true,CONTRACT_DOMAIN_NATIVE_ONLY,LICENSE_NOT_CONFIRMED,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,MISSING_SURFACE,MISSING_SURFACE,n_a,false,false,LICENSE,missing_surface,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
tebaqa,tebaqa_historical,true,CONTRACT_HISTORICAL_ONLY,AGPL,DATASET_PAYLOAD_NOT_ACQUIRED,G4_NOT_SATISFIED,G5_RUNTIME_PENDING,n_a,n_a,n_a,false,false,HISTORICAL,n_a,T5_LEGAL_ELIGIBILITY_RECHECK,docs/protocols/common/adapters/20260722T095602Z
