method_id,repo_full_name,artifact_kind,license_status,spdx_id,license_file_path,github_api_spdx,explicit_declaration_source,notes,revalidation_date,pinned_commit,current_head,evidence_hash,source_scope,archive_separation,model_card_separation,prompt20_status
mkgqagent,WSE-research/text2sparql-agent,github_code,LICENSE_NOT_CONFIRMED,UNKNOWN,ABSENT,null,ABSENT,No LICENSE/COPYING in repo root (GitHub contents API 2026-07-18). CITATION.cff present without license field (raw CITATION.cff). GitHub API license=null. Public code ≠ reusable rights confirmed.,20260722T102434Z,ba0f2f78611a7ccacc8c985a97f6008ef7ee6a6,ba0f2f78611a7ccacc8c985a97f6008ef7ee6a6a,LICENSE_ABSENT,code_repository,n_a,n_a,LICENSE_ABSENT_AT_PIN
cot_sparql,dice-group/CoT-Sparql,github_code,LICENSE_NOT_CONFIRMED,UNKNOWN,ABSENT,null,ABSENT,No LICENSE/COPYING file. GitHub API license=null. Not inferred from README.,20260722T102434Z,063edd9868425e54010a0cb49ce585ed2186be4d,063edd9868425e54010a0cb49ce585ed2186be4d,LICENSE_ABSENT,code_repository,n_a,n_a,LICENSE_ABSENT_AT_PIN
firesparql,sherry-pan/FIRESPARQL,github_code,LICENSE_NOT_CONFIRMED,UNKNOWN,ABSENT,null,ABSENT,No LICENSE/COPYING file. GitHub API license=null. Paper PDF SciTePress states CC BY-NC-ND 4.0 for the paper text only — not treated as code license.,20260722T102434Z,48d6f168e4c1dd3dc467553aef370299911d4e76,48d6f168e4c1dd3dc467553aef370299911d4e76,LICENSE_ABSENT,code_repository,n_a,n_a,LICENSE_ABSENT_AT_PIN
firesparql,Sherry791/Meta-Llama-3-8B-Instruct-ft4sciqa,huggingface_model,CONFIRMED_MODEL_CARD,MIT,README.md_frontmatter_license,n/a,https://huggingface.co/Sherry791/Meta-Llama-3-8B-Instruct-ft4sciqa/raw/main/README.md (YAML license: mit); HF API tags license:mit,Applies to published model card/weights declaration; does not license the GitHub code repo.,20260722T102434Z,8a44fbe3710f40d8890392ef585101f5ca51851b,8a44fbe3710f40d8890392ef585101f5ca51851b,bbc3ce54fd866f5ab48926f1e32f47d2720162d30260d7172dbe13891faf0541,model_card_checkpoint,n_a,MODEL_CARD_SEPARATE_FROM_GITHUB_CODE,MODEL_CARD_LICENSE_REPORTED
rdfconfig_llm,scott2121/sparql_query_generator,github_code,LICENSE_NOT_CONFIRMED,UNKNOWN,ABSENT,null,ABSENT,"No root LICENSE file for generator. GitHub API license=null. README MIT claim ignored per protocol. Nested rdf-config/LICENSE is vendored companion copy, not generator license.",20260722T102434Z,fe63171d3c8b9679779749ee11f731b2a8318053,fe63171d3c8b9679779749ee11f731b2a8318053,LICENSE_ABSENT,code_repository,SEPARATE_FROM_ZENODO,n_a,LICENSE_ABSENT_AT_PIN
rdfconfig_llm,scott2121/sparql_query_generator,zenodo_archive_v1.0.0,CONFIRMED_ZENODO_METADATA,CC-BY-4.0,n/a,n/a,Zenodo API https://zenodo.org/api/records/18539213 metadata.license.id=cc-by-4.0; DOI 10.5281/zenodo.18539214,Archive license for deposit v1.0.0. May differ from GitHub HEAD; GitHub still LICENSE_NOT_CONFIRMED.,20260722T102434Z,,,,,,,
rdfconfig_llm,dbcls/rdf-config,github_code,CONFIRMED_LICENSE_FILE,MIT,LICENSE,MIT,https://raw.githubusercontent.com/dbcls/rdf-config/HEAD/LICENSE (MIT License; Copyright 2020 DBCLS); GitHub API spdx_id=MIT,Companion schema/query builder used by the method.,20260722T102434Z,fe63171d3c8b9679779749ee11f731b2a8318053,fe63171d3c8b9679779749ee11f731b2a8318053,LICENSE_ABSENT,code_repository,SEPARATE_FROM_ZENODO,n_a,LICENSE_ABSENT_AT_PIN
sparql_llm,sib-swiss/sparql-llm,github_code,CONFIRMED_LICENSE_FILE,MIT,LICENSE.txt,MIT,LICENSE.txt + pyproject.toml license={file=LICENSE.txt} + CITATION.cff license: MIT,Reference row (already confirmed in Prompt 2).,20260722T102434Z,3748730e3bd2df2595280b918269fdaadb9fc0c3,3748730e3bd2df2595280b918269fdaadb9fc0c3,ca796c5b321e7edcbddb47d1ddfe268f72ced3728f5b0d151fb2d533cea8de56,code_repository,n_a,n_a,PINNED_LICENSE_FILE_VERIFIED
sgpt,rashad101/SGPT-SPARQL-query-generation,github_code,CONFIRMED_LICENSE_FILE,MIT,LICENSE.md,MIT,LICENSE.md MIT Copyright 2022 Md Rashad Al Hasan Rony,Reference row.,20260722T102434Z,1f6964d1c3bfee50c7dec2c25546f32b4ab94b2b,1f6964d1c3bfee50c7dec2c25546f32b4ab94b2b,66db862fb13fb23eabaa635b45b8cf324f088eee01fbecd4f813e0d2e7029df6,code_repository,n_a,n_a,PINNED_LICENSE_FILE_VERIFIED
qald9plus,Perevalov/qald_9_plus,dataset_authors_repo,PINNED_LICENSE_FILE_VERIFIED,CC-BY-4.0,LICENSE,CC-BY-4.0,LICENSE+CITATION.cff,Prompt20 revalidation; LAB_POLICY_ACQUISITION_ELIGIBLE_AFTER_AUTHORIZATION; no payload acquired,20260722T102434Z,8eb038a61e1bc09cbd21640aa667a1714f53cda4,8eb038a61e1bc09cbd21640aa667a1714f53cda4,7e7170e3cebf88a9f60c7b8421418323c09304da1af4d5e90f4da1dc1c8a2661,dataset_primary,n_a,n_a,LAB_POLICY_ACQUISITION_ELIGIBLE_AFTER_AUTHORIZATION
