method_id,variant_id,upstream_license,license_evidence,G3C_code,composite_G3,code_adaptation_allowed,execution_allowed,redistribution_allowed,dataset_license_dependency,model_license_dependency,third_party_service_terms_dependency,current_contract_class,t5_recheck_required,implementation_status,notes,evidence
sparql_llm,sparql_llm_schema_common_native,MIT,LICENSE.txt,SATISFIED_EVIDENCE,LAB_POLICY_G3_COMPOSITE_CONDITIONAL,LAB_POLICY_CONDITIONAL_AFTER_G6I,LAB_POLICY_CONDITIONAL,NOTICE_PRESERVATION_REQUIRED,QALD_CC_BY_4_0_ELIGIBLE_AFTER_AUTH,CONDITIONAL_EMBEDDING_LLM,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,LEGAL_LAYER_G3C_SATISFIED_COMPOSITE_CONDITIONAL,false,NOT_IMPLEMENTED,LAB_POLICY_CLASSIFICATION_BASED_ON_PUBLISHED_EVIDENCE,audit/PHASE2_CODE_LICENSE_REVALIDATION_MATRIX.csv|20260722T102434Z
sparql_llm,sparql_llm_schema_common_internal_feedback,MIT,LICENSE.txt,SATISFIED_EVIDENCE,LAB_POLICY_G3_COMPOSITE_CONDITIONAL,LAB_POLICY_CONDITIONAL_AFTER_G6I,LAB_POLICY_CONDITIONAL,NOTICE_PRESERVATION_REQUIRED,QALD_CC_BY_4_0_ELIGIBLE_AFTER_AUTH,CONDITIONAL_EMBEDDING_LLM,LLM+endpoint_TERMS_REVIEW_PENDING,LEGAL_LAYER_G3C_SATISFIED_COMPOSITE_CONDITIONAL,false,NOT_IMPLEMENTED,,20260722T102434Z
sgpt,sgpt_q,MIT,LICENSE.md,SATISFIED_EVIDENCE,LAB_POLICY_G3_COMPOSITE_CONDITIONAL,LAB_POLICY_CONDITIONAL_AFTER_G6I,LAB_POLICY_CONDITIONAL,NOTICE_PRESERVATION_REQUIRED,QALD_CC_BY_4_0_ELIGIBLE_AFTER_AUTH,GPT2_TERMS_REVIEW_PENDING,NOT_APPLICABLE,LEGAL_LAYER_G3C_SATISFIED_COMPOSITE_CONDITIONAL,false,NOT_IMPLEMENTED,,20260722T102434Z
sgpt,sgpt_qk,MIT,LICENSE.md,SATISFIED_EVIDENCE,LAB_POLICY_G3_COMPOSITE_CONDITIONAL,LAB_POLICY_CONDITIONAL_AFTER_G6I,LAB_POLICY_CONDITIONAL,NOTICE_PRESERVATION_REQUIRED,QALD_CC_BY_4_0_ELIGIBLE_AFTER_AUTH,GPT2_TERMS_REVIEW_PENDING,NOT_APPLICABLE,LEGAL_LAYER_G3C_SATISFIED_COMPOSITE_CONDITIONAL,false,NOT_IMPLEMENTED,,20260722T102434Z
mkgqagent,mkgqagent_q_only_agentic,UNKNOWN,LICENSE_ABSENT_AT_PIN,NOT_SATISFIED,LAB_POLICY_G3_NOT_SATISFIED,false,inspection_or_isolated_research_only,false,CONDITIONAL,CONDITIONAL,TERMS_REVIEW_PENDING,CONTRACT_BLOCKED_LEGAL_G3C,false,NOT_IMPLEMENTED,LICENSE_ABSENT_AT_PIN,20260722T102434Z
rdfconfig_llm,rdfconfig_domain_native,UNKNOWN,LICENSE_ABSENT_AT_PIN,NOT_SATISFIED,LAB_POLICY_G3_NOT_SATISFIED,false,inspection_or_isolated_research_only,false,CONDITIONAL,CONDITIONAL,TERMS_REVIEW_PENDING,CONTRACT_BLOCKED_LEGAL_G3C,false,NOT_IMPLEMENTED,Zenodo/companion not transferred,20260722T102434Z
rdfconfig_llm,rdfconfig_schema_common_dbpedia,UNKNOWN,LICENSE_ABSENT_AT_PIN,NOT_SATISFIED,LAB_POLICY_G3_NOT_SATISFIED,false,false,false,CONDITIONAL,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_NEGATIVE_CONTRACT_DEFINED,false,NOT_IMPLEMENTED,negative preserved,20260722T102434Z
cot_sparql,cot_native_external_services,UNKNOWN,LICENSE_ABSENT_AT_PIN,NOT_SATISFIED,LAB_POLICY_G3_NOT_SATISFIED,false,inspection_or_isolated_research_only,false,CONDITIONAL,NOT_SATISFIED,TERMS_REVIEW_PENDING,CONTRACT_BLOCKED_LEGAL_G3C,false,NOT_IMPLEMENTED,,20260722T102434Z
cot_sparql,cot_common_frozen_grounding,UNKNOWN,LICENSE_ABSENT_AT_PIN,NOT_SATISFIED,LAB_POLICY_G3_NOT_SATISFIED,false,inspection_or_isolated_research_only,false,CONDITIONAL,NOT_SATISFIED,TERMS_REVIEW_PENDING,CONTRACT_BLOCKED_LEGAL_G3C,false,NOT_IMPLEMENTED,,20260722T102434Z
firesparql,firesparql_raw_generation,UNKNOWN,LICENSE_ABSENT_AT_PIN,NOT_SATISFIED,LAB_POLICY_G3_NOT_SATISFIED,false,inspection_or_isolated_research_only,false,CONDITIONAL,HF_CARD_MIT_SEPARATE_BASE_PENDING,NOT_APPLICABLE,CONTRACT_BLOCKED_LEGAL_G3C,false,NOT_IMPLEMENTED,code≠HF card,20260722T102434Z
