queue_order,action_id,method_id,action_class,action_type,action_title,external_monetary_cost_usd,rationale,prerequisites,expected_new_evidence,pe_impact,evidence_paths
1,Z1,sgpt,GO_NEXT_ZERO_COST,environment_definition,SGPT environment definition (no train; no Table 4),0.00,Lexicográfica 11C: $0; MIT legal; evidencia incremental env; código/datos nativos presentes; viable Docker/local; sin sustitución; aproxima ejecución futura (Z2/Z3) en 1–2 prompts; stop conditions claros; diversidad vs sparql_llm ya smoke_only.,WAVE_B_static_complete;HUMAN_ZERO_COST_POLICY,Env pins deps RAM/VRAM limits harness paths; readiness toward reduced smoke,PE2_env_prep;PE4_deps,audit/sgpt/EXECUTION_READINESS.md;audit/NEXT_ZERO_COST_EXECUTION_DECISION.md
2,Z2,sgpt,GO_AFTER_ENVIRONMENT_ZERO_COST,data_metric_preflight,SGPT data/metric offline preflight,0.00,Tras Z1; no Table 4; valida splits/harness métricas léxicas.,Z1_complete,DATA_VERIFIED harness behavior; anomaly confirmation,PE4_metric,audit/sgpt/METRICS_AUDIT.md
3,Z3,sgpt,HOLD_MISSING_MODEL,reduced_training_smoke,SGPT reduced training smoke (future),0.00,Checkpoints ausentes; VRAM condicional; posible descarga GPT-2 gratuita con auth futura.,Z1_Z2;download_auth;explicit_not_Table4,EXECUTION_VERIFIED reduced_smoke_only,PE2_weak_not_PE3,audit/sgpt/TRAINING_CONFIGURATION_AUDIT.md
4,Z4,rdfconfig_llm,DOCUMENT_ONLY,legal_closure,RDF-config generator source/license closure,0.00,Valioso PE4 pero puede quedar unresolved; no aproxima ejecución tanto como Z1; no GO_NEXT 11C.,WAVE_A_static,LEGAL status generator vs Zenodo,PE4_LICENSE,audit/rdfconfig_llm/STATIC_AUDIT.md
5,Z5,rdfconfig_llm,DOCUMENT_ONLY,environment_definition,Companion rdf-config env definition,0.00,Ruby ABSENT; no confundir con generador.,companion_MIT;prefer_Z4_first,Env Ruby spec,PE2_conditional,audit/rdfconfig_llm/COMPANION_RDF_CONFIG_AUDIT.md
6,Z6,firesparql,DOCUMENT_ONLY,result_audit,FIRESPARQL versioned result consistency audit,0.00,Inspection only; results≠repro; LICENSE código HOLD.,WAVE_C_static,Consistency inventory,PE4,audit/firesparql/RESULT_PROVENANCE_AND_COMPLETENESS.md
7,Z7,firesparql,HOLD_MISSING_CODE,metric_recompute,Offline metric recomputation lab-owned only,0.00,Runner/trainer ausentes; no copiar upstream.,lab_harness_policy,Limited metric recomputation labels,PE4_METRIC,audit/firesparql/METRICS_AUDIT.md
8,Z8,sparql_llm,NO_GO_ZERO_COST_POLICY,online_smoke,LOCAL_CHAT_API_ONE_QUESTION,0.00_blocks_paid,Prep ready but human zero-cost policy.,Prompt11_artifacts,None while policy active,PE2_online_deferred,FINAL_ONLINE_SMOKE_GATE.md;HUMAN_ZERO_COST_DECISION.md
9,Z9,sparql_llm,NOT_CURRENTLY_ACTIONABLE,api_substitution,Free OpenRouter model,unknown,Mutability; unstable free; not authorized substitution.,new_gate,n_a,n_a,ZERO_COST_POLICY.md
10,Z10,sparql_llm,SUBSTITUTION_NOT_NATIVE,local_llm_substitution,Local LLM instead of OpenRouter,0.00,Future methodological value; not native Phase 1 reproduction.,new_scientific_gate,labeled_deviation_only,PE2_deviation,ZERO_COST_POLICY.md
11,Z11,mkgqagent,HOLD_LEGAL,any_executable,mKGQAgent actions,0.00,LICENSE_NOT_CONFIRMED.,LICENSE_clarified,n_a,PE4_LICENSE,audit/mkgqagent/STATIC_AUDIT.md
12,Z12,cot_sparql,HOLD_HARDWARE,any_executable,CoT-SPARQL actions,0.00,LICENSE + 34B + embeddings.,LICENSE_HW_embeddings,n_a,PE4,audit/cot_sparql/EXECUTION_READINESS.md
