name,candidate_version,upload_time,requires_python,profile_A,profile_Z2,status,reason,evidence
torch,1.13.1+cpu,2022-12 (pytorch index),cp38 wheel,REQUIRED_NATIVE_DECLARED,REQUIRED_Z2,DIRECT_PIN_CANDIDATE,upstream pin; Z2 uses +cpu variant,WHEEL_METADATA_VERIFIED
transformers,4.25.1,2022-12-01,>=3.7.0,REQUIRED_NATIVE_DECLARED,REQUIRED_Z2,SELECTED_CANDIDATE_UNTESTED,symbols+temporal,OFFICIAL_SOURCE_TAG_VERIFIED
numpy,1.23.5,2022-11-20T01:21:22.661546Z,>=3.8,REQUIRED_NATIVE_DECLARED,REQUIRED_Z2,DIRECT_PIN_CANDIDATE,implicit AST import; py3.8 era,OFFICIAL_METADATA_VERIFIED
tqdm,4.64.1,2022-09-03T11:10:27.148080Z,"!=3.0.*,!=3.1.*,!=3.2.*,!=3.3.*,>=2.7",REQUIRED_NATIVE_DECLARED,REQUIRED_Z2,DIRECT_PIN_CANDIDATE,implicit AST,OFFICIAL_METADATA_VERIFIED
nltk,3.8.1,2023-01-02T15:37:07.414618Z,>=3.7,REQUIRED_NATIVE_DECLARED,REQUIRED_Z2,DIRECT_PIN_CANDIDATE,metrics; resources deferred,OFFICIAL_METADATA_VERIFIED
spacy,3.4.4,2022-12-14T14:53:40.389558Z,>=3.6,REQUIRED_NATIVE_DECLARED,EXCLUDED_Z2,DIRECT_PIN_CANDIDATE,needed for qald9/dptree native; Z2 denylist those paths,OFFICIAL_METADATA_VERIFIED
tensorboardX,2.5.1,2022-06-05T11:53:54.717460Z,,OPTIONAL_FALLBACK,EXCLUDED_Z2,OPTIONAL_FALLBACK,SummaryWriter fallback; Z2 no TB,CODE_VERIFIED;OFFICIAL_METADATA_VERIFIED
python-Levenshtein,0.20.9,,,DECLARED_UNUSED,EXCLUDED_Z2,DECLARED_UNUSED,in requirements AST unused,CODE_VERIFIED
Unidecode,1.3.6,,,DECLARED_UNUSED,EXCLUDED_Z2,DECLARED_UNUSED,AST unused,CODE_VERIFIED
optuna-dashboard,latest_unspecified,,,DECLARED_UNUSED,EXCLUDED_Z2,DECLARED_UNUSED,AST unused,CODE_VERIFIED
apex,n/a,,,OPTIONAL_FALLBACK,EXCLUDED_Z2,DEFERRED_Z3,fp16 optional,CODE_VERIFIED
en_core_web_sm,compatible_with_spacy_3.4.x,,,REQUIRED_NATIVE_DECLARED,DEFERRED_DOWNLOAD,DEFERRED_DOWNLOAD,qald9 BaseDataset,CODE_VERIFIED
en_core_web_lg,compatible_with_spacy_3.4.x,,,OPTIONAL_FALLBACK,DEFERRED_DOWNLOAD,DEFERRED_DOWNLOAD,dptree only; denylist Z2,CODE_VERIFIED
gpt2,HF gpt2,,,REQUIRED_NATIVE_DECLARED,DEFERRED_Z3,DEFERRED_Z3,not for Z2,CODE_VERIFIED
pip,23.3.2,,,REQUIRED_NATIVE_DECLARED,REQUIRED_Z2,DIRECT_PIN_CANDIDATE,toolchain,PROPOSED_UNTESTED
setuptools,68.2.2,,,REQUIRED_NATIVE_DECLARED,REQUIRED_Z2,DIRECT_PIN_CANDIDATE,toolchain,PROPOSED_UNTESTED
wheel,0.41.2,,,REQUIRED_NATIVE_DECLARED,REQUIRED_Z2,DIRECT_PIN_CANDIDATE,toolchain,PROPOSED_UNTESTED
