action_id,method_id,action_title,action_type,legal_gate,external_cost_usd,new_download_required,new_authorization_required,local_execution_required,training_required,model_required,expected_new_evidence,native_equivalence,pe_impact,prerequisites,resource_risk,scientific_risk,stop_conditions,decision_class,rationale,confidence
PZ1,sgpt,SGPT_Z3_REDUCED_TRAINING_PROTOCOL_DEFINITION,protocol_definition,MIT_LEGAL_VERIFIED,0.00,false,false,false,false,false,Documented Z3 reduced smoke protocol: subset steps resources outputs abort; prepares future auth; no Table 4 claim,high_path_to_native_smoke,PE2_prep;PE4_protocol,Z1_Z2_closed;no_gpt2_in_this_action,low,medium_if_overclaim_table4,Abort if train/download/infer attempted in documentary prompt,GO_NEXT_ZERO_COST,"Lexicographic: $0; legal OK; incremental (protocol absent); closest to native exec path without executing; no substitution; local-doc viable; clear prereqs; controllable risk; not repeating closed Z1/Z2; diversity secondary to SGPT core baseline.",high
PZ2,sgpt,SGPT_FULL_NLTK_METRIC_PREFLIGHT,metric_extension,MIT_LEGAL_VERIFIED,0.00,true,true,true,false,false,METEOR/NLTK resource unit evidence; not model execution,low_to_model_exec,PE4_metric_incremental,new_download_auth_nltk,low,low_if_overclaim_full_pipeline,Abort without NLTK auth; no train,GO_AFTER_DOWNLOAD_AUTHORIZATION,Incremental metrics but requires new auth and does not approach model execution as strongly as PZ1 protocol,high
PZ3,sgpt,SGPT_REDUCED_TRAINING_EXECUTION,reduced_training_smoke,MIT_LEGAL_VERIFIED,0.00,true,true,true,true,true,EXECUTION_VERIFIED reduced smoke only; not Table 4,reduced_smoke_not_paper,PE2_weak_not_PE3,PZ1_protocol;gpt2_auth;resource_check,high_vram_ram,high_if_table4_claimed,Abort without protocol+auth; abort Table4 claims,GO_AFTER_PROTOCOL,Cannot select before PZ1; needs GPT-2 and explicit auth,high
PZ4,rdfconfig_llm,RDFCONFIG_GENERATOR_LICENSE_CLOSURE,legal_documental,LICENSE_NOT_CONFIRMED,0.00,false,false,false,false,false,May remain UNKNOWN; PE4 license clarity,none_execution,PE4_LICENSE,static_audit,low,low,Stop if execution attempted,DOCUMENT_ONLY,Valuable PE4 but less path to native SGPT execution than PZ1 after Z2 close,high
PZ5,rdfconfig_llm,RDFCONFIG_COMPANION_ENVIRONMENT_DEFINITION,environment_definition,companion_MIT,0.00,false,false,false,false,false,Ruby/Bundler env spec; companion≠generator,not_generator,PE2_conditional,Ruby_ABSENT_host,low,confusion_risk,Stop if treat companion as generator,DOCUMENT_ONLY,Ruby ABSENT; not generator; lower priority than SGPT Z3 protocol,high
PZ6,firesparql,FIRESPARQL_RESULT_CONSISTENCY_CLOSURE,result_audit,code_LICENSE_NOT_CONFIRMED,0.00,false,false,false,false,false,Consistency of versioned results; results≠reproduction,results_only,PE4,WAVE_C,low,results_as_repro_risk,No code execution of upstream runner,DOCUMENT_ONLY,Results≠repro; legal HOLD on code; less native path than PZ1,high
PZ7,firesparql,FIRESPARQL_LAB_METRIC_PROTOCOL,lab_harness_protocol,lab_owned_only,0.00,false,false,false,false,false,Lab harness protocol only; no upstream copy,not_native_runner,PE4_METRIC,policy_no_copy_upstream,low,native_equivalence_risk,No copy upstream trainer/runner,DOCUMENT_ONLY,Useful later; missing native code path; not selected over PZ1,medium
PZ8,sparql_llm,SPARQL_LLM_PAID_ONLINE_SMOKE,online_smoke,allowed_but_paid,gt_0,false,true,true,false,true,Online smoke evidence,native_api_path,PE2_online,ZERO_COST_POLICY,low,policy_violation,Blocked by policy,NO_GO_ZERO_COST_POLICY,Violates MAX_EXTERNAL_MONETARY_COST_USD=0.00,high
PZ9,sparql_llm,SPARQL_LLM_LOCAL_LLM_SUBSTITUTION,substitution,lab_policy,0.00,true,true,true,false,true,Labeled deviation only,SUBSTITUTION_NOT_NATIVE,PE2_deviation,scientific_gate,medium,native_claim_risk,Must label non-native,SUBSTITUTION_NOT_NATIVE,Not native Phase 1 reproduction,high
PZ10,mkgqagent,MKGQAGENT_EXECUTION,any_executable,LICENSE_NOT_CONFIRMED,0.00,true,true,true,false,true,n_a_until_legal,blocked,PE4_LICENSE,LICENSE_clarified,medium,legal,No execution while LICENSE_NOT_CONFIRMED,HOLD_LEGAL,Legal gate open,high
PZ11,cot_sparql,COT_SPARQL_EXECUTION,any_executable,LICENSE_AND_HW,0.00,true,true,true,false,true,n_a,blocked,PE4,LICENSE_HW_embeddings_34B,high,legal_hw,No env now,HOLD_HARDWARE,Hardware+legal barriers,high
PZ12,lab,PHASE1_EVIDENCE_CLOSURE_REGATE,phase_regate,n_a,0.00,false,false,false,false,false,Phase1 evidence inventory only,n_a,PE1-PE4_meta,only_if_no_incremental_action,low,premature_close_risk,Do not close Phase1,DEFERRED_LOW_INCREMENTAL_VALUE,PZ1 still justifies incremental protocol work; do not select PZ12 now,high
