variant_id,final_sparql_source,raw_preserved,best_of_gold,fallback_policy,status
sparql_llm_schema_common_native,chat_response_query,true,false,none_lab,OUTPUT_MAPPING_DEFINED
sparql_llm_schema_common_internal_feedback,chat_response_query,true,false,none_lab,OUTPUT_MAPPING_DEFINED
sgpt_q,eval_string,true,false,none,OUTPUT_MAPPING_DEFINED
sgpt_qk,eval_string,true,false,none,OUTPUT_MAPPING_DEFINED
mkgqagent_q_only_agentic,json.query,true,false,ADAPTER_FALLBACK_OUTPUT_if_generic,OUTPUT_MAPPING_DEFINED
rdfconfig_domain_native,rdf_config_stdout,true,false,none,OUTPUT_MAPPING_DEFINED
rdfconfig_schema_common_dbpedia,n_a_negative,true,false,n_a,OUTPUT_MAPPING_DEFINED
cot_native_external_services,main_output,true,false,none,OUTPUT_MAPPING_DEFINED
cot_common_frozen_grounding,main_output,true,false,none,OUTPUT_MAPPING_DEFINED
firesparql_raw_generation,raw_sparql,true,false,historical_csv_not_output,OUTPUT_MAPPING_DEFINED
firesparql_cleaned_generation,cleaned_sparql,true,false,paid_cleaning_labeled,OUTPUT_MAPPING_DEFINED
firesparql_rag,rag_sparql,true,false,none,OUTPUT_MAPPING_DEFINED
tebaqa_historical,n_a,true,false,n_a,OUTPUT_MAPPING_DEFINED
