method_id,barrier_id,barrier_type,barrier_description,evidence_class,prevented_action,temporary_or_structural,resolvable_zero_cost,would_change_reproduction_status,phase2_impact,legal_impact,evidence_path
sparql_llm,sparql_online_cost,COST,Online API smoke deferred by ZERO_COST policy,BLOCKED_POLICY,online_native_smoke,structural_under_policy,false,true_if_budget,protocol_may_include_paid_track,policy,docs/decisions/004_economic_nogo_online_smoke_and_re_gate.md
sparql_llm,sparql_virtuoso,ENDPOINT_DRIFT,Virtuoso TEXT2SPARQL blocked on host,BLOCKED_MISSING_ARTIFACT,full_stack_paper_path,structural_local,false,partial,track_design_ok,none,audit/REPRODUCIBILITY_BARRIER_MATRIX.csv
mkgqagent,mkg_license,LICENSE,LICENSE_NOT_CONFIRMED,BLOCKED_LEGAL,any_execution_adapters,structural,false,true_if_license,conditional_track,blocks_adapters,audit/mkgqagent/STATIC_AUDIT.md
mkgqagent,mkg_hosts,DOMAIN_HARDCODING,External hosts hardcoded,CODE_VERIFIED,offline_repro,structural,false,partial,adapter_contract,none,audit/mkgqagent/STATIC_AUDIT.md
rdfconfig_llm,rdf_gen_license,LICENSE,Generator LICENSE_NOT_CONFIRMED,BLOCKED_LEGAL,generator_execution_adapters,structural,false,true_if_license,conditional_domain,blocks_adapters,audit/rdfconfig_llm/STATIC_AUDIT.md
rdfconfig_llm,rdf_ruby,DEPENDENCY_DRIFT,Ruby/Bundler ABSENT,BLOCKED_HARDWARE,rdf-config runtime,temporary_if_install,false_under_current_auth,partial,runtime_prereq,none,audit/rdfconfig_llm/STATIC_AUDIT.md
sgpt,sgpt_ckpt,MISSING_CHECKPOINT,Paper Table4 checkpoints NOT_FOUND,BLOCKED_MISSING_ARTIFACT,Table4_inference,structural,false,true,oracle_track_design,none,audit/sgpt/CHECKPOINT_AND_RESULTS_INVENTORY.md
sgpt,sgpt_metrics,METRIC_AMBIGUITY,Lexical metrics ≠ Answer F1; no SPARQL exec,CODE_VERIFIED,paper_parity_claim,structural,false,true_for_PE3,metric_contract,none,audit/sgpt/METRICS_AUDIT.md
sgpt,sgpt_gold,GOLD_GROUNDING,Q_K uses oracle entities,CODE_VERIFIED,e2e_comparison,structural,true_doc,false_for_oracle_track,separate_track,none,audit/sgpt/
cot_sparql,cot_license,LICENSE,LICENSE_NOT_CONFIRMED,BLOCKED_LEGAL,execution_adapters,structural,false,true_if_license,documentary,blocks_adapters,audit/cot_sparql/
cot_sparql,cot_hw,HARDWARE,CodeLlama-34B GPTQ vs 6GiB,BLOCKED_HARDWARE,model_smoke,structural_local,false,true_with_GPU,documentary,none,audit/cot_sparql/EXECUTION_READINESS.md
cot_sparql,cot_emb,MISSING_DATA,Embeddings/parquets NOT_FOUND,BLOCKED_MISSING_ARTIFACT,retrieval_smoke,structural,false,partial,documentary,none,audit/cot_sparql/EXTERNAL_ARTIFACT_INVENTORY.csv
firesparql,fire_trainer,MISSING_TRAINER,LoRA/SFT trainer NOT_FOUND,BLOCKED_MISSING_CODE,native_FT,structural,false,true,documentary,none,audit/firesparql/
firesparql,fire_runner,MISSING_EXECUTION_RUNNER,QLever/ORKG runner NOT_FOUND,BLOCKED_MISSING_CODE,native_exec,structural,false,true,documentary,none,audit/firesparql/EXECUTION_READINESS.md
firesparql,fire_license,LICENSE,GitHub LICENSE_NOT_CONFIRMED; HF MIT ≠ code,BLOCKED_LEGAL,adapters,structural,false,true_if_license,documentary,blocks_adapters,audit/firesparql/
firesparql,fire_results,OTHER,Versioned results ≠ own reproduction,RESULT_FILE_VERIFIED,PE3_claim,structural,true_doc,false_if_mislabeled,do_not_treat_as_run,none,audit/firesparql/RESULT_PROVENANCE_AND_COMPLETENESS.md
