parent,dependency,specifier,environment_marker,extra,source,resolution_status
torch==1.13.1,typing-extensions,,,,pypi_torch_1.13.1,TRANSITIVE_METADATA_KNOWN
torch==1.13.1,nvidia-cuda-runtime-cu11,(==11.7.99),"platform_system == ""Linux""",,pypi_torch_1.13.1,TRANSITIVE_METADATA_KNOWN
torch==1.13.1,nvidia-cudnn-cu11,(==8.5.0.96),"platform_system == ""Linux""",,pypi_torch_1.13.1,TRANSITIVE_METADATA_KNOWN
torch==1.13.1,nvidia-cublas-cu11,(==11.10.3.66),"platform_system == ""Linux""",,pypi_torch_1.13.1,TRANSITIVE_METADATA_KNOWN
torch==1.13.1,nvidia-cuda-nvrtc-cu11,(==11.7.99),"platform_system == ""Linux""",,pypi_torch_1.13.1,TRANSITIVE_METADATA_KNOWN
torch==1.13.1,opt-einsum,(>=3.3),extra == 'opt-einsum',,pypi_torch_1.13.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,filelock,,,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,huggingface-hub,"(<1.0,>=0.10.0)",,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,numpy,(>=1.17),,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,packaging,(>=20.0),,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pyyaml,(>=5.1),,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,regex,(!=2019.12.17),,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,requests,,,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tokenizers,"(!=0.11.3,<0.14,>=0.11.1)",,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tqdm,(>=4.27),,,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,importlib-metadata,,"python_version < ""3.8""",,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,accelerate,(>=0.10.0),extra == 'accelerate',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tensorflow,"(<2.11,>=2.4)",extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,onnxconverter-common,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tf2onnx,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tensorflow-text,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,keras-nlp,(>=0.3.1),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,torch,"(!=1.12.0,>=1.7)",extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,jax,"(!=0.3.2,<=0.3.6,>=0.2.8)",extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,jaxlib,"(<=0.3.6,>=0.1.65)",extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,flax,(>=0.4.1),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,optax,(>=0.0.8),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,sentencepiece,"(!=0.1.92,>=0.1.91)",extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,protobuf,(<=3.20.2),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,tokenizers,"(!=0.11.3,<0.14,>=0.11.1)",extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,torchaudio,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,librosa,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pyctcdecode,(>=0.4.0),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,phonemizer,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,kenlm,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,Pillow,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,optuna,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,ray,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,sigopt,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,timm,,extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,codecarbon,(==1.2.0),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,accelerate,(>=0.10.0),extra == 'all',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,librosa,,extra == 'audio',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
transformers==4.25.1,pyctcdecode,(>=0.4.0),extra == 'audio',,pypi_transformers_4.25.1,TRANSITIVE_METADATA_KNOWN
