risk_id,risk,component,probability,impact,detection,mitigation,stop_condition,residual_risk,future_gate,evidence
L01,license_absent_at_pin,code,med,high,revalidation,block_G3C,no_impl,med,T5,Prompt20
L02,license_added_after_pin,code,med,high,revalidation,no_retroactive,no_repin_silent,med,repin_doc,Prompt20
L03,readme_only_license,code,med,high,revalidation,ignore_upgrade,no_CONFIRMED,med,T5,Prompt20
L04,paper_license_conflation,docs,med,high,revalidation,separate_L8,no_code_license,med,T5,Prompt20
L05,model_card_code_conflation,model,med,high,revalidation,separate_L4,no_code_license,med,T5,Prompt20
L06,mirror_source_conflation,dataset,med,high,revalidation,authors_primary,no_HF_as_primary,med,T6,Prompt20
L07,archive_HEAD_conflation,rdfconfig,med,high,revalidation,separate_sources,no_auto_transfer,med,T6,Prompt20
L08,nested_component_scope,companion,med,high,revalidation,separate_MIT,no_wrapper_license,med,T5,Prompt20
L09,dataset_derived_index,artifact,med,high,revalidation,SOURCE_SEPARATION,no_redistribute_assume,med,G3A,Prompt20
L10,base_model_terms,model,med,high,revalidation,inventory,no_download_until_review,med,G3M,Prompt20
L11,checkpoint_base_incompatibility,fire,med,high,revalidation,card≠base,HOLD,med,G3M,Prompt20
L12,API_terms_drift,service,med,high,revalidation,URL_inventory,no_interpret,med,G3S,Prompt20
L13,endpoint_terms_drift,graph,med,high,revalidation,URL_inventory,no_query,med,G3G,Prompt20
L14,attribution_omission,dataset,med,high,revalidation,manifest_template,block_acq,med,T6A,Prompt20
L15,notice_omission,code,med,high,revalidation,NOTICE_REQUIRED,block_redistrib,med,G6I,Prompt20
L16,redistribution_overreach,all,med,high,revalidation,boundary_doc,stop,med,G3O,Prompt20
L17,output_ownership_uncertainty,results,med,high,revalidation,UNKNOWN,no_claim,med,G3O,Prompt20
L18,personal_data_to_API,service,med,high,revalidation,minimize,ZERO_COST_block_paid,med,G3S,Prompt20
L19,dynamic_terms_acceptance,service,med,high,revalidation,no_accept,stop,med,G3S,Prompt20
L20,repin_changes_baseline,code,med,high,revalidation,documentary_repin_only,no_silent_repin,med,governance,Prompt20
L21,legal_status_after_acquisition,acq,med,high,revalidation,revalidate,invalidate_if_changed,med,T6B,Prompt20
