action_id,method_id,action_title,legal_gate,external_monetary_cost_usd,paid_api_required,paid_compute_required,local_runtime_required,free_download_required,existing_artifacts,missing_artifacts,expected_evidence,scientific_equivalence,pe_impact,local_feasibility,risk,prerequisites,stop_conditions,decision_class,evidence_paths,confidence
Z1,sgpt,SGPT environment definition (no train),internal_execution_allowed,0.00,false,false,true,false,WAVE_B_static;MIT;datasets_present,checkpoints;full_VRAM_paper,environment_evidence,documentary_only_toward_reduced_smoke,PE2_env_prep;PE4_deps,ready,low_scope_creep,static_audit_complete,no_pip_no_train_no_claim_Table4,GO_NEXT_ZERO_COST,audit/sgpt/EXECUTION_READINESS.md;audit/sgpt/STATIC_AUDIT.md,high
Z2,sgpt,SGPT data/metric offline preflight,internal_execution_allowed,0.00,false,false,true,false,datasets;metrics_code,checkpoints,data_or_metric_evidence,reduced_smoke_only,PE4_metric_anomaly,conditional,metric_misread_as_PE3,Z1_env_or_inline_harness,no_Table4_claim;no_Answer_F1_invention,GO_AFTER_ENVIRONMENT_ZERO_COST,audit/sgpt/METRICS_AUDIT.md;audit/sgpt/DATASET_INVENTORY.csv,medium
Z3,sgpt,SGPT reduced training smoke,internal_execution_allowed,0.00,false,false,true,true_gpt2_possible,code;data,checkpoints;VRAM_headroom,native_execution_evidence_weak,reduced_smoke_only,PE2_weak_not_PE3,conditional,VRAM_OOM;HF_download_policy,Z1_then_Z2;download_auth,explicit_not_Table4;abort_on_OOM,HOLD_MISSING_MODEL,audit/sgpt/TRAINING_CONFIGURATION_AUDIT.md,medium
Z4,rdfconfig_llm,RDF-config generator source/license closure,inspection_only,0.00,false,false,false,false,WAVE_A;companion_MIT,generator_LICENSE_CONFIRMED,documentary_closure,documentary_only,PE4_LICENSE,ready,may_remain_unresolved,static_audit_complete,no_Ruby_install;no_generator_run,DOCUMENT_ONLY,audit/rdfconfig_llm/STATIC_AUDIT.md;environments/rdfconfig_llm/source_selection.md,high
Z5,rdfconfig_llm,Companion rdf-config environment definition,internal_execution_allowed_companion_MIT,0.00,false,false,true,false,companion_MIT_pin,Ruby_Bundler_host,environment_evidence,documentary_only,PE2_conditional,blocked,confuse_companion_vs_generator,Z4_or_clear_companion_only_policy,no_generator_execution,DOCUMENT_ONLY,audit/rdfconfig_llm/COMPANION_RDF_CONFIG_AUDIT.md,medium
Z6,firesparql,FIRESPARQL result consistency audit (versioned files only),inspection_only,0.00,false,false,false,false,versioned_results,trainer;runner;LICENSE_code,data_or_metric_evidence,documentary_only,PE4_results_neq_repro,ready,treat_results_as_repro,static_audit_complete,no_upstream_code_exec;LICENSE_HOLD,DOCUMENT_ONLY,audit/firesparql/RESULT_PROVENANCE_AND_COMPLETENESS.md,high
Z7,firesparql,Offline metric recomputation via lab-owned defs only,inspection_only_or_lab_code,0.00,false,false,true,false,result_files;public_metric_defs,upstream_LICENSE;runner,data_or_metric_evidence,documentary_only,PE4_METRIC,conditional,copying_upstream_code,lab_harness_policy;no_upstream_copy,no_claim_native_repro,HOLD_MISSING_CODE,audit/firesparql/METRICS_AUDIT.md,medium
Z8,sparql_llm,LOCAL_CHAT_API_ONE_QUESTION paid online smoke,internal_execution_allowed_but_spend_declined,0.00_policy_blocks_paid,true,false,true,false,env_index_preflight_model_docs,human_spend_auth;OpenRouter_key,native_execution_evidence,native_equivalent_candidate,PE2_online_deferred,blocked_by_policy,policy_violation_if_run,Prompt11_ready,zero_cost_policy,NO_GO_ZERO_COST_POLICY,docs/protocols/sparql_llm/model-budget-gates/20260721T100618Z/FINAL_ONLINE_SMOKE_GATE.md,high
Z9,sparql_llm,Free OpenRouter model substitution,internal_execution_allowed,unknown_unstable,true,false,true,false,chat_stack,stable_free_SLA;pin,substitution_risk,substitution_not_native,PE2_invalid_if_claimed_native,unknown,API_MUTABILITY,explicit_new_gate,not_selected,NOT_CURRENTLY_ACTIONABLE,audit/ZERO_COST_POLICY.md,high
Z10,sparql_llm,Local LLM substitution for OpenRouter path,internal_execution_allowed,0.00,false,false,true,true_possible,chat_stack;index,equivalence_proof,environment_evidence,substitution_not_native,PE2_method_deviation,conditional,false_native_claim,new_scientific_gate,label_substitution_only,SUBSTITUTION_NOT_NATIVE,audit/ZERO_COST_POLICY.md,high
Z11,mkgqagent,Any mKGQAgent executable/env action,blocked,0.00,false,false,true,false,WAVE_A_static,LICENSE_CONFIRMED,documentary_closure,documentary_only,PE4_LICENSE,blocked,legal_violation,LICENSE_clarified,HOLD_LEGAL,HOLD_LEGAL,audit/mkgqagent/STATIC_AUDIT.md,high
Z12,cot_sparql,Any CoT-SPARQL executable/env action,blocked,0.00,false,false,true,true_embeddings_possible,WAVE_C_static,LICENSE;34B_VRAM;embeddings,documentary_closure,documentary_only,PE4_HARDWARE_LEGAL,blocked,OOM_legal,LICENSE_and_HW,HOLD_LEGAL_AND_HARDWARE,HOLD_HARDWARE,audit/cot_sparql/EXECUTION_READINESS.md,high
