file_id,source_url,manifest_path,allowlist_path_before,allowlist_path_after,before_exact_match,after_exact_match,before_issue,resolution,host,size,checksum_status,final_status,evidence
CORE_EN_001,https://downloads.dbpedia.org/2016-10/core-i18n/en/article_categories_en.ttl.bz2,/2016-10/core-i18n/en/article_categories_en.ttl.bz2,//2016-10/core-i18n/en/article_categories_en.ttl.bz2,/2016-10/core-i18n/en/article_categories_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,236365092,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_002,https://downloads.dbpedia.org/2016-10/core-i18n/en/category_labels_en.ttl.bz2,/2016-10/core-i18n/en/category_labels_en.ttl.bz2,//2016-10/core-i18n/en/category_labels_en.ttl.bz2,/2016-10/core-i18n/en/category_labels_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,17447841,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_003,https://downloads.dbpedia.org/2016-10/core-i18n/en/disambiguations_en.ttl.bz2,/2016-10/core-i18n/en/disambiguations_en.ttl.bz2,//2016-10/core-i18n/en/disambiguations_en.ttl.bz2,/2016-10/core-i18n/en/disambiguations_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,13344953,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_004,https://downloads.dbpedia.org/2016-10/core-i18n/en/external_links_en.ttl.bz2,/2016-10/core-i18n/en/external_links_en.ttl.bz2,//2016-10/core-i18n/en/external_links_en.ttl.bz2,/2016-10/core-i18n/en/external_links_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,167510717,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_005,https://downloads.dbpedia.org/2016-10/core-i18n/en/freebase_links_en.ttl.bz2,/2016-10/core-i18n/en/freebase_links_en.ttl.bz2,//2016-10/core-i18n/en/freebase_links_en.ttl.bz2,/2016-10/core-i18n/en/freebase_links_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,85282055,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_006,https://downloads.dbpedia.org/2016-10/core-i18n/en/geo_coordinates_en.ttl.bz2,/2016-10/core-i18n/en/geo_coordinates_en.ttl.bz2,//2016-10/core-i18n/en/geo_coordinates_en.ttl.bz2,/2016-10/core-i18n/en/geo_coordinates_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,17598860,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_007,https://downloads.dbpedia.org/2016-10/core-i18n/en/geo_coordinates_mappingbased_en.ttl.bz2,/2016-10/core-i18n/en/geo_coordinates_mappingbased_en.ttl.bz2,//2016-10/core-i18n/en/geo_coordinates_mappingbased_en.ttl.bz2,/2016-10/core-i18n/en/geo_coordinates_mappingbased_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,17379613,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_008,https://downloads.dbpedia.org/2016-10/core-i18n/en/geonames_links_en.ttl.bz2,/2016-10/core-i18n/en/geonames_links_en.ttl.bz2,//2016-10/core-i18n/en/geonames_links_en.ttl.bz2,/2016-10/core-i18n/en/geonames_links_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,4010348,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_009,https://downloads.dbpedia.org/2016-10/core-i18n/en/homepages_en.ttl.bz2,/2016-10/core-i18n/en/homepages_en.ttl.bz2,//2016-10/core-i18n/en/homepages_en.ttl.bz2,/2016-10/core-i18n/en/homepages_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,12326604,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_010,https://downloads.dbpedia.org/2016-10/core-i18n/en/images_en.ttl.bz2,/2016-10/core-i18n/en/images_en.ttl.bz2,//2016-10/core-i18n/en/images_en.ttl.bz2,/2016-10/core-i18n/en/images_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,94728001,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_011,https://downloads.dbpedia.org/2016-10/core-i18n/en/infobox_properties_en.ttl.bz2,/2016-10/core-i18n/en/infobox_properties_en.ttl.bz2,//2016-10/core-i18n/en/infobox_properties_en.ttl.bz2,/2016-10/core-i18n/en/infobox_properties_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,492733142,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_012,https://downloads.dbpedia.org/2016-10/core-i18n/en/infobox_property_definitions_en.ttl.bz2,/2016-10/core-i18n/en/infobox_property_definitions_en.ttl.bz2,//2016-10/core-i18n/en/infobox_property_definitions_en.ttl.bz2,/2016-10/core-i18n/en/infobox_property_definitions_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,788573,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_013,https://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_en.ttl.bz2,/2016-10/core-i18n/en/instance_types_en.ttl.bz2,//2016-10/core-i18n/en/instance_types_en.ttl.bz2,/2016-10/core-i18n/en/instance_types_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,42351931,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_014,https://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_transitive_en.ttl.bz2,/2016-10/core-i18n/en/instance_types_transitive_en.ttl.bz2,//2016-10/core-i18n/en/instance_types_transitive_en.ttl.bz2,/2016-10/core-i18n/en/instance_types_transitive_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,131023326,MD5,CONSISTENT,Prompt23C static regeneration
CORE_EN_015,https://downloads.dbpedia.org/2016-10/core-i18n/en/interlanguage_links_chapters_en.ttl.bz2,/2016-10/core-i18n/en/interlanguage_links_chapters_en.ttl.bz2,//2016-10/core-i18n/en/interlanguage_links_chapters_en.ttl.bz2,/2016-10/core-i18n/en/interlanguage_links_chapters_en.ttl.bz2,false,true,DOUBLE_SLASH_PREFIX,REGENERATE_FROM_URLSPLIT_PATH,downloads.dbpedia.org,187246960,MD5,CONSISTENT,Prompt23C static regeneration
