order,action,vehicle,status
1,HUMAN_DEPLOYMENT_RESOURCE_PROFILE_SELECTION,human_gate,OPEN
2,FINAL_DEPLOYMENT_AUTHORIZATION_PACKAGE,Prompt_25B_reserved,BLOCKED_UNTIL_PROFILE
3,HUMAN_DEPLOYMENT_EXECUTION_AUTHORIZATION,human_gate,BLOCKED
4,RESOURCE_CONFIGURATION,D1,BLOCKED
5,DECOMPRESSION_AND_RDF_VALIDATION,D2,BLOCKED
6,RUNTIME_IMAGE_ACQUISITION,D3,BLOCKED
7,VIRTUOSO_LOAD,D4,BLOCKED
8,GRAPH_RUNTIME_VALIDATION,D5,BLOCKED
9,GOLD_MATERIALIZATION,D6,BLOCKED
10,METRIC_IMPLEMENTATION_AND_CONFORMANCE,implementation,BLOCKED
11,G6I_G7_ADAPTER_IMPLEMENTATION_DECISION,decision,BLOCKED
12,ADAPTER_IMPLEMENTATION,implementation,BLOCKED
13,COMMON_PREFLIGHT,runtime,BLOCKED
14,BENCHMARK,runtime,BLOCKED
15,CASE_STUDY,research,BLOCKED
