contract_id,method_id,variant_id,G3C_code,G3D_dataset,G3G_graph,G3M_model,G3A_artifact,G3S_service_terms,G3O_output_redistribution,composite_G3,implementation_candidate_after_legal,acquisition_candidate,primary_legal_blocker,secondary_legal_blockers,common_adapter_allowed,g6i_status,benchmark_status,evidence,confidence
AC_SPARQL_LLM_SCHEMA_COMMON_NATIVE,sparql_llm,sparql_llm_schema_common_native,SATISFIED_EVIDENCE,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,LAB_POLICY_G3_COMPOSITE_CONDITIONAL,true,QALD9_PLUS_EN_DBPEDIA,none,dataset_graph_model_service,false,G6I_IMPLEMENTATION_APPROVAL_PENDING,NOT_CURRENTLY_ELIGIBLE,docs/protocols/common/legal/20260722T102434Z/,high
AC_SPARQL_LLM_SCHEMA_COMMON_INTERNAL_FEEDBACK,sparql_llm,sparql_llm_schema_common_internal_feedback,SATISFIED_EVIDENCE,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,LAB_POLICY_G3_COMPOSITE_CONDITIONAL,true,QALD9_PLUS_EN_DBPEDIA,none,G4_endpoint,false,G6I_IMPLEMENTATION_APPROVAL_PENDING,NOT_CURRENTLY_ELIGIBLE,docs/protocols/common/legal/20260722T102434Z/,high
AC_SGPT_Q,sgpt,sgpt_q,SATISFIED_EVIDENCE,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,NOT_APPLICABLE,CONDITIONAL,LAB_POLICY_G3_COMPOSITE_CONDITIONAL,true,QALD9_PLUS_EN_DBPEDIA,none,dataset_model_checkpoint,false,G6I_IMPLEMENTATION_APPROVAL_PENDING,NOT_CURRENTLY_ELIGIBLE,docs/protocols/common/legal/20260722T102434Z/,high
AC_SGPT_QK,sgpt,sgpt_qk,SATISFIED_EVIDENCE,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,NOT_APPLICABLE,CONDITIONAL,LAB_POLICY_G3_COMPOSITE_CONDITIONAL,true,QALD9_PLUS_EN_DBPEDIA,none,oracle_dataset_model,false,G6I_IMPLEMENTATION_APPROVAL_PENDING,NOT_CURRENTLY_ELIGIBLE,docs/protocols/common/legal/20260722T102434Z/,high
AC_MKGQAGENT_Q_ONLY,mkgqagent,mkgqagent_q_only_agentic,NOT_SATISFIED,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,LAB_POLICY_G3_NOT_SATISFIED,false,none,LICENSE_ABSENT_AT_PIN,runtime_cost,false,G6I_IMPLEMENTATION_APPROVAL_PENDING,NOT_CURRENTLY_ELIGIBLE,docs/protocols/common/legal/20260722T102434Z/,high
AC_RDFCONFIG_DOMAIN_NATIVE,rdfconfig_llm,rdfconfig_domain_native,NOT_SATISFIED,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,CONDITIONAL,LAB_POLICY_G3_NOT_SATISFIED,false,zenodo_separate_only,LICENSE_ABSENT_AT_PIN,domain_only,false,G6I_IMPLEMENTATION_APPROVAL_PENDING,NOT_CURRENTLY_ELIGIBLE,docs/protocols/common/legal/20260722T102434Z/,high
AC_RDFCONFIG_SCHEMA_COMMON_DBPEDIA_NEGATIVE,rdfconfig_llm,rdfconfig_schema_common_dbpedia,NOT_SATISFIED,CONDITIONAL,CONDITIONAL,NOT_APPLICABLE,NOT_SATISFIED,NOT_APPLICABLE,NOT_APPLICABLE,LAB_POLICY_G3_NOT_SATISFIED,false,none,NEGATIVE+LICENSE,MISSING_COMMON_BUNDLE,false,G6I_IMPLEMENTATION_APPROVAL_PENDING,NOT_CURRENTLY_ELIGIBLE,docs/protocols/common/legal/20260722T102434Z/,high
AC_COT_SPARQL_NATIVE_EXTERNAL,cot_sparql,cot_native_external_services,NOT_SATISFIED,CONDITIONAL,CONDITIONAL,NOT_SATISFIED,NOT_SATISFIED,CONDITIONAL,CONDITIONAL,LAB_POLICY_G3_NOT_SATISFIED,false,none,LICENSE_ABSENT,runtime_artifacts,false,G6I_IMPLEMENTATION_APPROVAL_PENDING,NOT_CURRENTLY_ELIGIBLE,docs/protocols/common/legal/20260722T102434Z/,high
AC_COT_SPARQL_FROZEN_GROUNDING,cot_sparql,cot_common_frozen_grounding,NOT_SATISFIED,CONDITIONAL,CONDITIONAL,NOT_SATISFIED,CONDITIONAL,CONDITIONAL,CONDITIONAL,LAB_POLICY_G3_NOT_SATISFIED,false,none,LICENSE_ABSENT,runtime,false,G6I_IMPLEMENTATION_APPROVAL_PENDING,NOT_CURRENTLY_ELIGIBLE,docs/protocols/common/legal/20260722T102434Z/,high
AC_FIRESPARQL_DOMAIN_NATIVE,firesparql,firesparql_raw_generation,NOT_SATISFIED,CONDITIONAL,CONDITIONAL,CONDITIONAL,NOT_SATISFIED,CONDITIONAL,CONDITIONAL,LAB_POLICY_G3_NOT_SATISFIED,false,none,LICENSE_ABSENT,MISSING_SURFACE,false,G6I_IMPLEMENTATION_APPROVAL_PENDING,NOT_CURRENTLY_ELIGIBLE,docs/protocols/common/legal/20260722T102434Z/,high
