method_id,barrier_id,barrier_class,severity,evidence_summary,evidence_tags,mitigation,estimated_cost,resolvable_locally,blocks_smoke,blocks_native_reproduction,blocks_common_evaluation
sparql_llm,sparql_runtime_py310,RUNTIME_MISMATCH,medium,Host Python 3.10: setup_failed 5A (typing.Required); smoke_only solo en Docker Py3.11,EXECUTION_VERIFIED,Usar contenedor py311 documentado; no insistir en host 3.10,low,yes_via_Docker,partial_host_yes_container_no,partial,no
sparql_llm,sparql_virtuoso,ENDPOINT_DRIFT,high,Protocolo TEXT2SPARQL_VIRTUOSO BLOCKED en host,CODE_VERIFIED;README_REPORTED,Diferir Virtuoso; usar bancos SIB/API ligeros,high,no_current_host,yes_for_that_protocol,yes_for_paper_full_stack,yes_if_requires_Virtuoso
sparql_llm,sparql_api_undef,API_MUTABILITY,low,Protocolo API/SIB definido (Prompt 9); prep online lista; smoke no ejercido,CODE_VERIFIED;ENVIRONMENT_VERIFIED,Histórico CONDITIONAL_GO; ahora bloqueado por COST ZERO_USD,low_documentary,yes_documentary,deferred_economic,partial_native_API_path,partial
sparql_llm,sparql_online_cost,COST,high,Investigador fija SOLO $0: sin OpenRouter ni POST /chat; online_smoke_gate=NO_GO_ECONOMIC (Mori 2026-07-21),HUMAN;COST,Continuar auditoría $0 (rdfconfig legal); reabrir solo con nueva política de presupuesto,zero,n_a_policy,yes_online_smoke,partial_online_PE2,no
sparql_llm,sparql_compose,DEPENDENCY_DRIFT,medium,Compose plugin ABSENT; uv ABSENT en host,CODE_VERIFIED,Docker run documentado; no Compose full stack,medium,partial,yes_compose_stack,yes_documented_chat_stack,no
sparql_llm,sparql_e5_ram,HARDWARE,medium,Riesgo RAM indexación multilingual-e5-large en WSL ~7.4GiB,INFERENCE;MACHINE_PROFILE,Índices precomputados o API-only path,medium,partial,conditional,conditional,no
mkgqagent,mkg_license,LICENSE,high,LICENSE_NOT_CONFIRMED; sin SPDX; adapters blocked,LEGAL_VERIFIED_pending,Obtener licencia o permiso escrito; HOLD_LEGAL,unknown,no_legal,yes_policy,yes_policy,yes_adapters
mkgqagent,mkg_hosts,DOMAIN_HARDCODING,high,Hosts externos hardcodeados (DBpedia/WSE),CODE_VERIFIED,Parametrizar fuera de upstream en fase adapters; no modificar upstream ahora,medium,no_without_fork_policy,yes_offline,yes,yes
mkgqagent,mkg_double_e5,HARDWARE,high,Doble carga e5-large; offline NOT_READY,CODE_VERIFIED;INFERENCE,Single-agent + CPU offload documentado post-legal,high,partial,yes_offline,yes,partial
mkgqagent,mkg_offline_script,MISSING_DATA,medium,Script de rebuild del experience pool offline ausente,NOT_FOUND,Depender de pool prebuilt o reconstruir documentado,medium,unknown,yes_offline,yes,partial
rdfconfig_llm,rdf_gen_license,LICENSE,high,Generador GitHub LICENSE_NOT_CONFIRMED; Zenodo CC-BY-4.0 no licencia automáticamente HEAD,LEGAL_VERIFIED_pending,Cerrar fuente canónica (Zenodo vs HEAD) y derechos,unknown,no_legal,yes_execution_policy,yes,yes_adapters
rdfconfig_llm,rdf_ruby,DEPENDENCY_DRIFT,high,Ruby/Bundler ABSENT en host,CODE_VERIFIED;MACHINE_PROFILE,GO_AFTER_ENVIRONMENT tras legal; no install como GO_NEXT,medium,yes_if_install_allowed_later,yes,yes,partial_domain
rdfconfig_llm,rdf_domain,DOMAIN_HARDCODING,medium,Dominio life-science (Bgee/UniProt/Rhea) ≠ DBpedia común,CODE_VERIFIED;PAPER_REPORTED,Track domain_specific; no comparar directo con QALD,high_reimpl,no_as_same_bench,no,partial_native_domain_ok,yes_direct_compare
rdfconfig_llm,rdf_yaml_mutate,OTHER,medium,Mutación sparql_yaml en ejecución; workdir obligatorio,CODE_VERIFIED,Nunca ejecutar in-place sobre upstream/,low,yes_policy,conditional,conditional,no
sgpt,sgpt_ckpt,MISSING_CHECKPOINT,high,Checkpoints de Table 4 NOT_FOUND en repo,NOT_FOUND,HOLD_MISSING_MODEL; no fingir inferencia nativa,unknown_external,no_without_release,yes_inference,yes_Table4,partial_oracle_train
sgpt,sgpt_metrics,METRIC_AMBIGUITY,high,Double update métricas léxicas; Answer F1 ausente; no ejecución SPARQL,CODE_VERIFIED,Documentar métricas reales; no equivaler a Answer F1,low_doc,yes_doc,no,yes_paper_parity,yes_if_wrong_metric
sgpt,sgpt_split,SPLIT_DRIFT,medium,lcquad test 5969 vs paper 6046; qald9 ID reuse train/test,DATA_VERIFIED,Documentar drift; no forzar match numérico,low_doc,partial,no,yes_exact_Table4,yes_if_unlabeled
sgpt,sgpt_vram,HARDWARE,medium,Paper 2×12GB vs local 6GiB; train/infer condicional,PAPER_REPORTED;MACHINE_PROFILE,Reduced smoke etiquetado ≠ native; o compute externo,high,partial,conditional,yes_paper_parity,no
sgpt,sgpt_gold,GOLD_GROUNDING,high,Variante Q_K usa entidades oráculo del dataset,CODE_VERIFIED,Track oracle_grounding separado de end-to-end,low_doc,yes_doc,no,no_for_oracle_track,yes_vs_e2e
cot_sparql,cot_license,LICENSE,high,LICENSE_NOT_CONFIRMED,LEGAL_VERIFIED_pending,HOLD_LEGAL,unknown,no_legal,yes_policy,yes_policy,yes_adapters
cot_sparql,cot_hw,HARDWARE,high,CodeLlama-34B-Instruct-GPTQ vs VRAM 6GiB,CODE_VERIFIED;README_REPORTED;MACHINE_PROFILE,HOLD_HARDWARE; no cuantizar como reproducción,high_external_GPU,no,yes,yes,partial
cot_sparql,cot_emb,MISSING_DATA,high,Embeddings/parquets de ejemplos ausentes (wget externo),NOT_FOUND,GO_AFTER_EXTERNAL_ARTIFACT si URL íntegra,medium,if_download_allowed,yes_retrieval,yes,yes
cot_sparql,cot_eval,MISSING_EVALUATOR,high,Scripts de evaluación dedicados ausentes; métricas PAPER_REPORTED,NOT_FOUND;PAPER_REPORTED,No declarar PE3; documentar gap,high,no,no_import,yes,yes
cot_sparql,cot_http,METRIC_AMBIGUITY,medium,Validación = HTTP 200 en endpoint público ≠ corrección semántica,CODE_VERIFIED,No usar HTTP 200 como Answer F1,low_doc,yes_doc,no,yes_if_claimed,yes
