stage_id,stage_name,primary_scripts,inputs,outputs,external_deps,present,end_to_end_native,evidence
A,ZERO_SHOT,codes/generate_sparql_cuda.py;codes/generate_sparql_mps.py,model_path;test_questions.csv,results/step1_generated_text/vanilla/*/AQ*.txt,torch;transformers;pandas;HF_or_local_weights,yes,conditional_needs_model,CODE_VERIFIED
B,ONE_SHOT,experiment_datasets/codes/one_shot_mapping.py + codes/generate_sparql_one_shot_cuda.py,train/test CSVs;most_similar_questions.csv;model,results/step1/.../one_shot/,sentence-transformers;sklearn;torch;transformers,yes_mapping_offline_possible,not_end_to_end_mapping_separate,CODE_VERIFIED
C,FINE_TUNED_INFER,same generate_* loading merge_models or HF ft,merge_models/$MODEL or HF checkpoint;test CSV,results/step1/.../ft/,weights ABSENT locally,scripts_yes_weights_no,blocked_adapters_and_VRAM,CODE_VERIFIED;NOT_FOUND
D,RAG_CONTEXT,codes/generate_context_rag.py,orkg-property.json;rag_files;test_questions;GROQ_API_KEY,results/context_from_rag/,Groq;chromadb;llama_index;BAAI/bge-small-en,yes,blocked_APIs,CODE_VERIFIED
E,RAG_GEN,codes/generate_sparql_rag_cuda.py;codes/generate_sparql_rag_mps.py,model;test CSV;context files,results/step1/.../vanilla_rag|ft_rag/,torch;transformers;context,yes,blocked_plus_context,CODE_VERIFIED
F,CLEANING,codes/sparql-cleaning-llm.py;run_all_cleaning.sh,step1 txt folders;OPENAI_API_KEY,results/step2_clean_sparql/,openai gpt-4o,yes,blocked_OpenAI,CODE_VERIFIED;RESULT_FILE_VERIFIED
G,EXECUTION,CODE_NOT_FOUND runner,cleaned SPARQL vs ORKG/QLever,results/step3_sparql_running_against_orkg/*/sparql_summary.csv (+ partial sparql_results.csv),endpoint UNKNOWN,results_only,blocked_CODE_NOT_FOUND,RESULT_FILE_VERIFIED;CODE_NOT_FOUND
H,EVAL,codes/bleu_rouge.py;exact_match.py;accumulate_exact_match.py;ploting.ipynb,cleaned text vs gold;sparql_results message vs gt_message;success_ids,BLEU/ROUGE CSVs;EM summaries;union IDs;plots,pandas;nltk;rouge,yes_scripts,conditional_path_fixes,CODE_VERIFIED;RESULT_FILE_VERIFIED
FT_DATA_PREP,FT_JSON_TRANSFORM,experiment_datasets/codes/SciQA-training-transformation.py;dblp-training-transformation.py,train questions JSON/CSV,sciqa_training_data4ft.json;dblp_training_data4ft.json,json stdlib,yes,not_trainer,CODE_VERIFIED
FT_TRAIN,FINE_TUNING,NOT_FOUND peft/LoraConfig/SFTTrainer/train*.py,UNKNOWN LLaMa-Factory,merge_models / HF,EXTERNAL LLaMa-Factory,no,not_ready,NOT_FOUND;EXTERNAL_ARTIFACT_REFERENCED
