file_id,scope_class,directory,filename,source_url,serialization,compression,language,dataset_component,graph_target,remote_size_bytes,published_checksum_algorithm,published_checksum,etag,last_modified,payload_requested,required_for_endpoint_equivalent,selection_reason,duplicate_representation,status,evidence
CORE_EN_001,PUBLIC_ENDPOINT_EQUIVALENT_SCOPE,2016-10/core-i18n/en,article_categories_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/article_categories_en.ttl.bz2,turtle,bz2,en,core-resolved-from-checksums,DBPEDIA_2016_10_QALD9_NATIVE_ENDPOINT_EQUIVALENT,236365092,md5,5d0f04303849fc16734c94324177a54c,"""58c97bf1-e16a524""","Wed, 15 Mar 2017 17:37:53 GMT",false,true,listed_in_core_checksums_md5_path_resolved_to_core_i18n_en,false,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,core/_checksums.md5 + HEAD en
CORE_EN_002,PUBLIC_ENDPOINT_EQUIVALENT_SCOPE,2016-10/core-i18n/en,category_labels_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/category_labels_en.ttl.bz2,turtle,bz2,en,core-resolved-from-checksums,DBPEDIA_2016_10_QALD9_NATIVE_ENDPOINT_EQUIVALENT,17447841,md5,31462b0af4d5092533f82f0390510ce5,"""58c97bf4-10a3ba1""","Wed, 15 Mar 2017 17:37:56 GMT",false,true,listed_in_core_checksums_md5_path_resolved_to_core_i18n_en,false,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,core/_checksums.md5 + HEAD en
CORE_EN_003,PUBLIC_ENDPOINT_EQUIVALENT_SCOPE,2016-10/core-i18n/en,disambiguations_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/disambiguations_en.ttl.bz2,turtle,bz2,en,core-resolved-from-checksums,DBPEDIA_2016_10_QALD9_NATIVE_ENDPOINT_EQUIVALENT,13344953,md5,a52c03be1ce7d1023754f8b4914eafa4,"""58e39db8-cba0b9""","Tue, 04 Apr 2017 13:20:56 GMT",false,true,listed_in_core_checksums_md5_path_resolved_to_core_i18n_en,false,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,core/_checksums.md5 + HEAD en
CORE_EN_004,PUBLIC_ENDPOINT_EQUIVALENT_SCOPE,2016-10/core-i18n/en,external_links_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/external_links_en.ttl.bz2,turtle,bz2,en,core-resolved-from-checksums,DBPEDIA_2016_10_QALD9_NATIVE_ENDPOINT_EQUIVALENT,167510717,md5,c59e46b1eb8c0eeb5a33e53ddb19d460,"""58c97bed-9fc02bd""","Wed, 15 Mar 2017 17:37:49 GMT",false,true,listed_in_core_checksums_md5_path_resolved_to_core_i18n_en,false,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,core/_checksums.md5 + HEAD en
CORE_EN_005,PUBLIC_ENDPOINT_EQUIVALENT_SCOPE,2016-10/core-i18n/en,freebase_links_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/freebase_links_en.ttl.bz2,turtle,bz2,en,core-resolved-from-checksums,DBPEDIA_2016_10_QALD9_NATIVE_ENDPOINT_EQUIVALENT,85282055,md5,92f59cdd9d08e1e4c6efc096ff6dc75b,"""57f74f07-5154d07""","Fri, 07 Oct 2016 07:30:15 GMT",false,true,listed_in_core_checksums_md5_path_resolved_to_core_i18n_en,false,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,core/_checksums.md5 + HEAD en
CORE_EN_006,PUBLIC_ENDPOINT_EQUIVALENT_SCOPE,2016-10/core-i18n/en,geo_coordinates_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/geo_coordinates_en.ttl.bz2,turtle,bz2,en,core-resolved-from-checksums,DBPEDIA_2016_10_QALD9_NATIVE_ENDPOINT_EQUIVALENT,17598860,md5,d065c82cd7044624a64db2e0d60e7f7b,"""58c97bf8-10c898c""","Wed, 15 Mar 2017 17:38:00 GMT",false,true,listed_in_core_checksums_md5_path_resolved_to_core_i18n_en,false,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,core/_checksums.md5 + HEAD en
CORE_EN_007,PUBLIC_ENDPOINT_EQUIVALENT_SCOPE,2016-10/core-i18n/en,geo_coordinates_mappingbased_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/geo_coordinates_mappingbased_en.ttl.bz2,turtle,bz2,en,core-resolved-from-checksums,DBPEDIA_2016_10_QALD9_NATIVE_ENDPOINT_EQUIVALENT,17379613,md5,007da0b64ef59882f624abcad97e477b,"""58defed1-109311d""","Sat, 01 Apr 2017 01:13:53 GMT",false,true,listed_in_core_checksums_md5_path_resolved_to_core_i18n_en,false,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,core/_checksums.md5 + HEAD en
CORE_EN_008,PUBLIC_ENDPOINT_EQUIVALENT_SCOPE,2016-10/core-i18n/en,geonames_links_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/geonames_links_en.ttl.bz2,turtle,bz2,en,core-resolved-from-checksums,DBPEDIA_2016_10_QALD9_NATIVE_ENDPOINT_EQUIVALENT,4010348,md5,6ead9d5a6c6b377c2408125549e3e42d,"""59314808-3d316c""","Fri, 02 Jun 2017 11:12:08 GMT",false,true,listed_in_core_checksums_md5_path_resolved_to_core_i18n_en,false,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,core/_checksums.md5 + HEAD en
CORE_EN_009,PUBLIC_ENDPOINT_EQUIVALENT_SCOPE,2016-10/core-i18n/en,homepages_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/homepages_en.ttl.bz2,turtle,bz2,en,core-resolved-from-checksums,DBPEDIA_2016_10_QALD9_NATIVE_ENDPOINT_EQUIVALENT,12326604,md5,7d9f803d1c2ed79603c436a41579a7ce,"""58c97bef-bc16cc""","Wed, 15 Mar 2017 17:37:51 GMT",false,true,listed_in_core_checksums_md5_path_resolved_to_core_i18n_en,false,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,core/_checksums.md5 + HEAD en
CORE_EN_010,PUBLIC_ENDPOINT_EQUIVALENT_SCOPE,2016-10/core-i18n/en,images_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/images_en.ttl.bz2,turtle,bz2,en,core-resolved-from-checksums,DBPEDIA_2016_10_QALD9_NATIVE_ENDPOINT_EQUIVALENT,94728001,md5,64c49aa0ca5e95c1e09abb9ee895cfee,"""58c97bef-5a56f41""","Wed, 15 Mar 2017 17:37:51 GMT",false,true,listed_in_core_checksums_md5_path_resolved_to_core_i18n_en,false,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,core/_checksums.md5 + HEAD en
