contract_id,method_id,variant_id,track_id,common_input_mapping,native_surface,preparation_contract,training_contract,inference_contract,output_mapping,failure_mapping,network_contract,secret_contract,artifact_contract,observability_contract,legal_gate,runtime_gate,g4_status,g5_documentary,g5_runtime,g6d_status,g6i_status,common_adapter_allowed,benchmark_eligibility,implementation_status,stop_conditions,evidence
AC_SPARQL_LLM_SCHEMA_COMMON_NATIVE,sparql_llm,sparql_llm_schema_common_native,IA_SCHEMA_COMMON,DEFINED,POST_/chat,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,LEGAL_VERIFIED_MIT,RUNTIME_GATE_PENDING,G4_RUNTIME_PIN_NOT_SATISFIED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING,false,NOT_CURRENTLY_ELIGIBLE,NOT_IMPLEMENTED,not_Q_ONLY,docs/protocols/common/adapters/20260722T095602Z
AC_SPARQL_LLM_SCHEMA_COMMON_INTERNAL_FEEDBACK,sparql_llm,sparql_llm_schema_common_internal_feedback,IA_SCHEMA_COMMON,DEFINED,POST_/chat,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,LEGAL_VERIFIED_MIT,BLOCKED_UNTIL_G4,G4_RUNTIME_PIN_NOT_SATISFIED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING,false,NOT_CURRENTLY_ELIGIBLE,NOT_IMPLEMENTED,separate_from_generate_only,docs/protocols/common/adapters/20260722T095602Z
AC_SGPT_Q,sgpt,sgpt_q,IA_Q_ONLY,DEFINED,eval_string,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,LEGAL_VERIFIED_MIT,RUNTIME_GATE_PENDING,G4_RUNTIME_PIN_NOT_SATISFIED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING,false,NOT_CURRENTLY_ELIGIBLE,NOT_IMPLEMENTED,neq_qk,docs/protocols/common/adapters/20260722T095602Z
AC_SGPT_QK,sgpt,sgpt_qk,IA_ORACLE_GROUNDING,DEFINED,eval_string,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,LEGAL_VERIFIED_MIT,RUNTIME_GATE_PENDING,G4_RUNTIME_PIN_NOT_SATISFIED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING,false,NOT_CURRENTLY_ELIGIBLE,NOT_IMPLEMENTED,FORBIDDEN_vs_q,docs/protocols/common/adapters/20260722T095602Z
AC_MKGQAGENT_Q_ONLY,mkgqagent,mkgqagent_q_only_agentic,IA_Q_ONLY,DEFINED,GET_/api,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,LICENSE_NOT_CONFIRMED,RUNTIME_GATE_PENDING,G4_RUNTIME_PIN_NOT_SATISFIED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING,false,NOT_CURRENTLY_ELIGIBLE,NOT_IMPLEMENTED,legal_blocked,docs/protocols/common/adapters/20260722T095602Z
AC_RDFCONFIG_DOMAIN_NATIVE,rdfconfig_llm,rdfconfig_domain_native,IA_DOMAIN_NATIVE,DEFINED,rdf-config_CLI,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,LICENSE_NOT_CONFIRMED,RUNTIME_GATE_PENDING,G4_RUNTIME_PIN_NOT_SATISFIED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING,false,NOT_CURRENTLY_ELIGIBLE,NOT_IMPLEMENTED,not_QALD,docs/protocols/common/adapters/20260722T095602Z
AC_RDFCONFIG_SCHEMA_COMMON_DBPEDIA_NEGATIVE,rdfconfig_llm,rdfconfig_schema_common_dbpedia,IA_SCHEMA_COMMON,DEFINED,n_a,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,LICENSE_NOT_CONFIRMED,CONTRACT_BLOCKED_MISSING_ARTIFACT,G4_RUNTIME_PIN_NOT_SATISFIED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING,false,NOT_CURRENTLY_ELIGIBLE,NOT_IMPLEMENTED,negative,docs/protocols/common/adapters/20260722T095602Z
AC_COT_SPARQL_NATIVE_EXTERNAL,cot_sparql,cot_native_external_services,IA_FIXED_EXTERNAL_GROUNDING,DEFINED,main.py,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,LICENSE_NOT_CONFIRMED,CONTRACT_BLOCKED_RUNTIME,G4_RUNTIME_PIN_NOT_SATISFIED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING,false,NOT_CURRENTLY_ELIGIBLE,NOT_IMPLEMENTED,not_e2e_Q,docs/protocols/common/adapters/20260722T095602Z
AC_COT_SPARQL_FROZEN_GROUNDING,cot_sparql,cot_common_frozen_grounding,IA_FIXED_EXTERNAL_GROUNDING,DEFINED,main.py,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,LICENSE_NOT_CONFIRMED,CONTRACT_BLOCKED_RUNTIME,G4_RUNTIME_PIN_NOT_SATISFIED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING,false,NOT_CURRENTLY_ELIGIBLE,NOT_IMPLEMENTED,not_native_repro,docs/protocols/common/adapters/20260722T095602Z
AC_FIRESPARQL_DOMAIN_NATIVE,firesparql,firesparql_raw_generation,IA_DOMAIN_NATIVE,DEFINED,codes_partial,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,DEFINED,LICENSE_NOT_CONFIRMED,CONTRACT_BLOCKED_MISSING_NATIVE_SURFACE,G4_RUNTIME_PIN_NOT_SATISFIED,satisfied,pending,G6D_ADAPTER_CONTRACT_DOCUMENTED,G6I_IMPLEMENTATION_APPROVAL_PENDING,false,NOT_CURRENTLY_ELIGIBLE,NOT_IMPLEMENTED,not_QALD,docs/protocols/common/adapters/20260722T095602Z
