risk_id,severity,status,mitigation
wrong_dbpedia_release,HIGH,open,Pin 2016-10 only; reject Latest Core
current_endpoint_substituted,HIGH,mitigated_decision,Rejected as primary
incomplete_endpoint_scope,HIGH,mitigated_prompt23b,33 blockers resolved to lang canonical paths; scope locked
duplicate_serialization,MEDIUM,mitigated,Select ttl.bz2 for core; links unique nt/ttl files
missing_ontology,MEDIUM,open,Not in four-bullet list; 23B decide
missing_instance_types_lhd,HIGH,mitigated_plan,Explicitly included with size; checksum absent
missing_links,HIGH,mitigated_plan,All links/*.bz2 inventoried
external_extension_license,MEDIUM,open,YAGO/linksets terms unknown
checksum_unavailable,MEDIUM,open,LHD lack md5; SHA256 not published
redirect_to_mirror,MEDIUM,monitored,Resolver forbids following mirrors
partial_download,HIGH,future_stop,Acquisition stop conditions
disk_exhaustion,LOW,mitigated,918GiB free >> estimate
wsl_oom,HIGH,open,7.4GiB WSL RAM
docker_image_drift,HIGH,future,Require digest pin; no pull now
virtuoso_version_drift,HIGH,future,Pin loader version later
default_graph_mismatch,HIGH,open,Historical default graph not fully documented
named_graph_mismatch,HIGH,open,ttl vs tql named-graph semantics
query_timeout_mismatch,MEDIUM,future,Endpoint contract TBD
result_limit_mismatch,MEDIUM,future,Endpoint contract TBD
latest_endpoint_drift,HIGH,mitigated_decision,Rejected primary
query_coverage_subgraph_bias,HIGH,mitigated_decision,Rejected primary
aggregate_answer_corruption,HIGH,open_if_incomplete_scope,Depends on full graph
negative_pattern_corruption,HIGH,open_if_incomplete_scope,Depends on full graph
test_leakage,HIGH,mitigated,Test sealed; no inspection
gold_before_graph_gate,HIGH,mitigated,Forbidden until G4
common_rebase_mislabeled_native,HIGH,mitigated_docs,Boundary document
unversioned_endpoint,HIGH,future,Fingerprint required
unauthorized_payload_acquisition,HIGH,mitigated,Not acquired; auth UNSIGNED
authorization_reuse,HIGH,mitigated,QALD auth consumed; not reused
cost_above_zero,HIGH,mitigated,ZERO_COST; cost 0.00
