dataset_family,representation_id,logical_view,source_commit,tree_path,filename,file_role,remote_size_bytes,git_blob_oid,published_checksum_algorithm,published_checksum,local_existing_path,local_size_bytes,local_sha256,payload_downloaded,metadata_evidence,status,notes
QALD9_PLUS,qald9plus_authors_repo,repo_root,8eb038a61e1bc09cbd21640aa667a1714f53cda4,.gitignore,.gitignore,other,1799,b6e47617de110dea7ca47e087ff1347cc2646eda,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
QALD9_PLUS,qald9plus_authors_repo,repo_root,8eb038a61e1bc09cbd21640aa667a1714f53cda4,CITATION.cff,CITATION.cff,other,1191,4506fd12bdff0cbe14dd40a92a193c38cb747bc7,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
QALD9_PLUS,qald9plus_authors_repo,repo_root,8eb038a61e1bc09cbd21640aa667a1714f53cda4,LICENSE,LICENSE,license,18650,2f244ac814036ecd9ba9f69782e89ce6b1dca9eb,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
QALD9_PLUS,qald9plus_authors_repo,repo_root,8eb038a61e1bc09cbd21640aa667a1714f53cda4,README.md,README.md,readme,9000,4bf2534f0381f6f04427b0265f4a7cdf47e35fbe,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
QALD9_PLUS,qald9plus_authors_repo,QALD9_PLUS_EN_DBPEDIA,8eb038a61e1bc09cbd21640aa667a1714f53cda4,data/qald_9_plus_test_dbpedia.json,qald_9_plus_test_dbpedia.json,data_payload,1424744,06cc04be82be7c807631a419670fb011a9565ec1,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
QALD9_PLUS,qald9plus_authors_repo,QALD9_PLUS_EN_WIKIDATA,8eb038a61e1bc09cbd21640aa667a1714f53cda4,data/qald_9_plus_test_wikidata.json,qald_9_plus_test_wikidata.json,data_payload,8882491,357518c78607a724cd5ee12f16c6285fb92706bb,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
QALD9_PLUS,qald9plus_authors_repo,QALD9_PLUS_EN_DBPEDIA,8eb038a61e1bc09cbd21640aa667a1714f53cda4,data/qald_9_plus_train_dbpedia.json,qald_9_plus_train_dbpedia.json,data_payload,6371289,cce48cbdf2af7f5e8ce59308dda667de7fc209b8,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
QALD9_PLUS,qald9plus_authors_repo,QALD9_PLUS_EN_WIKIDATA,8eb038a61e1bc09cbd21640aa667a1714f53cda4,data/qald_9_plus_train_wikidata.json,qald_9_plus_train_wikidata.json,data_payload,17241155,a7325d0b195e1db109ce69748547eb5e24a80810,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
QALD9_PLUS,qald9plus_authors_repo,repo_root,8eb038a61e1bc09cbd21640aa667a1714f53cda4,metadata.rdf,metadata.rdf,other,2470,02b445458813a228c86b5cdfb832979d9e1f2aa1,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
QALD9_PLUS,qald9plus_authors_repo,repo_root,8eb038a61e1bc09cbd21640aa667a1714f53cda4,notebooks/statistics.ipynb,statistics.ipynb,other,4389,1ed6b037e02da5694205aa4f7f75345497d39b83,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
LCQUAD2,lcquad2_authors_repo,LCQUAD2_KG_VIEWS_SHARE_FILES,0a5f8f85b6f863c3b80f0fa02839e25d438af3ae,README.md,README.md,readme,121,b8aeeae182dfe7e0a3cfbfe72941a55c40298cf4,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
LCQUAD2,lcquad2_authors_repo,LCQUAD2_KG_VIEWS_SHARE_FILES,0a5f8f85b6f863c3b80f0fa02839e25d438af3ae,dataset/test.json,test.json,data_payload,6578362,9efb5c1e883b9c1ba9df6a2e81591ba908a0011f,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
LCQUAD2,lcquad2_authors_repo,LCQUAD2_KG_VIEWS_SHARE_FILES,0a5f8f85b6f863c3b80f0fa02839e25d438af3ae,dataset/train.json,train.json,data_payload,26561843,1a972fb91a6ce480e34cbbb3c88532a40e3d9d7c,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
LCQUAD2,lcquad2_authors_repo,LCQUAD2_KG_VIEWS_SHARE_FILES,0a5f8f85b6f863c3b80f0fa02839e25d438af3ae,resource/entities_covered,entities_covered,other,183006,aea9a9bbbb8f891dcd0586141b09455951080c4a,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
LCQUAD2,lcquad2_authors_repo,LCQUAD2_KG_VIEWS_SHARE_FILES,0a5f8f85b6f863c3b80f0fa02839e25d438af3ae,resource/predicates_with_frequency,predicates_with_frequency,other,72356,8ceb70e4210be168dbe4cac424c20b3dde060e31,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,,,,false,REPOSITORY_TREE_METADATA_VERIFIED,METADATA_ONLY,payload_not_fetched
QALD9_PLUS,qald9plus_mkgqagent_train_derivative,LOCAL_DERIVATIVE_NOT_CANONICAL,lab_upstream_method_pin,upstream/mkgqagent/data/datasets/qald_9_plus_train_dbpedia_en.json,qald_9_plus_train_dbpedia_en.json,method_local_derivative,,,NOT_APPLICABLE,NOT_APPLICABLE,upstream/mkgqagent/data/datasets/qald_9_plus_train_dbpedia_en.json,116992,6bd0913f5dc843404e8b83f4d63e1b4b2294181318ee288c00d1f9a81daa53ad,false_remote_true_preexisting_local,LOCAL_SHA256_VERIFIED,LOCAL_EXISTING_READ_ONLY,n=408; usable_as_common_canonical=false
LCQUAD2,lcquad2_sgpt_processed_derivative,LOCAL_DERIVATIVE_NOT_CANONICAL,lab_upstream_method_pin,upstream/sgpt/data/lcquad2/train.json,train.json,method_local_derivative,,,NOT_APPLICABLE,NOT_APPLICABLE,upstream/sgpt/data/lcquad2/train.json,85907717,e001876e4329e4c2144c8aea9f6c2b012c5342ad0210ea38de4c9a17c7fdbb23,false_remote_true_preexisting_local,LOCAL_SHA256_VERIFIED,LOCAL_EXISTING_READ_ONLY,n=21497; usable_as_common_canonical=false
LCQUAD2,lcquad2_sgpt_processed_derivative,LOCAL_DERIVATIVE_NOT_CANONICAL,lab_upstream_method_pin,upstream/sgpt/data/lcquad2/val.json,val.json,method_local_derivative,,,NOT_APPLICABLE,NOT_APPLICABLE,upstream/sgpt/data/lcquad2/val.json,9550849,c521855f6bbd69a1d0ad4fc1735d6c8d10721570cf96de9e755682d125744c9b,false_remote_true_preexisting_local,LOCAL_SHA256_VERIFIED,LOCAL_EXISTING_READ_ONLY,n=2389; usable_as_common_canonical=false
LCQUAD2,lcquad2_sgpt_processed_derivative,LOCAL_DERIVATIVE_NOT_CANONICAL,lab_upstream_method_pin,upstream/sgpt/data/lcquad2/test.json,test.json,method_local_derivative,,,NOT_APPLICABLE,NOT_APPLICABLE,upstream/sgpt/data/lcquad2/test.json,23742690,0f1b754e04de08df34cb6cc12b1eceac61dbe92fbbe5b9935ae0cdff19bcbb5c,false_remote_true_preexisting_local,LOCAL_SHA256_VERIFIED,LOCAL_EXISTING_READ_ONLY,n=5969; usable_as_common_canonical=false
LCQUAD2,lcquad2_sgpt_original_derivative,LOCAL_DERIVATIVE_NOT_CANONICAL,lab_upstream_method_pin,upstream/sgpt/data/lcquad2/original/train.json,train.json,method_local_derivative,,,NOT_APPLICABLE,NOT_APPLICABLE,upstream/sgpt/data/lcquad2/original/train.json,25208541,cd8f37d873deb17b3b9c8c06514da1ba05d747d78ae306c16fc4ba40214faab6,false_remote_true_preexisting_local,LOCAL_SHA256_VERIFIED,LOCAL_EXISTING_READ_ONLY,n=21497; usable_as_common_canonical=false
LCQUAD2,lcquad2_sgpt_original_derivative,LOCAL_DERIVATIVE_NOT_CANONICAL,lab_upstream_method_pin,upstream/sgpt/data/lcquad2/original/val.json,val.json,method_local_derivative,,,NOT_APPLICABLE,NOT_APPLICABLE,upstream/sgpt/data/lcquad2/original/val.json,2792441,256b52621f26a4e88df7c7ec61624dfcc33af5ae40fdaf3d1ebbfa980a480b06,false_remote_true_preexisting_local,LOCAL_SHA256_VERIFIED,LOCAL_EXISTING_READ_ONLY,n=2389; usable_as_common_canonical=false
LCQUAD2,lcquad2_sgpt_original_derivative,LOCAL_DERIVATIVE_NOT_CANONICAL,lab_upstream_method_pin,upstream/sgpt/data/lcquad2/original/test.json,test.json,method_local_derivative,,,NOT_APPLICABLE,NOT_APPLICABLE,upstream/sgpt/data/lcquad2/original/test.json,6973408,c159b4928736aeefee965bc642df52452d8efe840fe013fa461bf00679a7c89a,false_remote_true_preexisting_local,LOCAL_SHA256_VERIFIED,LOCAL_EXISTING_READ_ONLY,n=5969; usable_as_common_canonical=false
