resource,value,unit,source,status,notes
compressed_payload_available_bytes,5023159516,bytes,HEAD+checksum_resolution,VERIFIED_METADATA,81 files available candidate
compressed_payload_unavailable_count,33,files,HEAD_404,BLOCKER,en_uris_* listed in core md5
uncompressed_bytes,UNKNOWN,bytes,no_official_total_for_subset,UNKNOWN,Do not invent
triple_count,UNKNOWN,triples,no_official_count_for_endpoint_subset,UNKNOWN,
virtuoso_db_expansion_factor,2x-5x_compressed_heuristic,ratio,literature_range_not_measured,INFERENCE,Range only; not measured
minimum_free_disk_estimate,>=50GiB,GiB,compressed~4.7GiB + unpack + virtuoso heuristic,INFERENCE,Conservative lower bound
recommended_free_disk,>=150GiB,GiB,lab_conservative,INFERENCE,
host_free_disk_observed,918,GiB,df_/ Prompt23,OBSERVED,DISK_OK
wsl_ram_observed,7.4,GiB,MACHINE_PROFILE+free,OBSERVED,Likely insufficient for full Virtuoso load
host_ram_observed,~16,GiB,MACHINE_PROFILE,OBSERVED,May require WSL memory increase
docker_daemon,available,n/a,MACHINE_PROFILE,OBSERVED,
docker_compose,absent,n/a,MACHINE_PROFILE,OBSERVED,
classification,CONDITIONAL_HIGH_RISK,class,Prompt23 assessment,EMITTED,Disk OK; RAM/WSL high risk; file scope conditional
