metric_id,family,primary_or_diagnostic,applicable_tracks,applicable_query_forms,requires_execution,requires_graph,requires_gold_query,requires_gold_answers,requires_linker_output,canonicalization_profile,failure_denominator,aggregation,statistical_contract,implementation_status,runtime_status,claim_boundary,evidence
answer_precision,answer,primary,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,true,true,false,true,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
answer_recall,answer,primary,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,true,true,false,true,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,bootstrap_or_wilson,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
answer_f1,answer,primary,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,true,true,false,true,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,macro_per_item,paired_item_bootstrap_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
execution_exact_accuracy,answer,primary,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN,true,true,false,true,false,RDF_TERM_V1+SPARQL_V1_CONS,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
generation_success_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
syntax_validity_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
safe_query_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
executable_query_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,true,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
abstention_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
timeout_rate,validity,diagnostic,IA_Q_ONLY;IA_SCHEMA_COMMON;IA_ORACLE_GROUNDING;IA_FIXED_EXTERNAL_GROUNDING;IA_DOMAIN_NATIVE,SELECT_ROWSET;SELECT_AGGREGATE;ASK_BOOLEAN;UNKNOWN_FORM,false,false,false,false,false,n_a_or_partial,ELIGIBLE_GLOBAL_failures_included,item_proportion,wilson_CI95,METRIC_IMPLEMENTATION_PENDING,RUNTIME_G5_NOT_VERIFIED,cross_track_ranking,docs/protocols/common/metrics/20260722T093257Z/
