risk_id,risk,component,probability,impact,detection,mitigation,stop_condition,residual_risk,future_gate,evidence
R01,track_violation,input,high,high,track_check,reject,abort,low,G6I,docs/protocols/common/adapters/20260722T095602Z
R02,gold_leakage,input,med,high,leakage_controls,forbid_gold_resolve,invalidate,low,T9,docs/protocols/common/adapters/20260722T095602Z
R03,oracle_hidden,oracle,med,high,manifest_roles,declare,sgpt_q_neq_qk,low,G6I,docs/protocols/common/adapters/20260722T095602Z
R04,schema_bundle_mismatch,schema,med,high,hash,pin,abort,med,G4,docs/protocols/common/adapters/20260722T095602Z
R05,model_substitution,model,med,high,freeze,new_variant,abort,low,G6I,docs/protocols/common/adapters/20260722T095602Z
R06,prompt_drift,prompt,med,med,prompt_hash,freeze,recalc,low,G6I,docs/protocols/common/adapters/20260722T095602Z
R07,retrieval_index_drift,retrieval,med,high,index_hash,freeze,invalidate,med,G6I,docs/protocols/common/adapters/20260722T095602Z
R08,dynamic_download,network,high,high,allowlist,forbid,abort,low,preflight,docs/protocols/common/adapters/20260722T095602Z
R09,hidden_network,network,high,high,network_log,declare,abort,med,preflight,docs/protocols/common/adapters/20260722T095602Z
R10,secret_leakage,secrets,med,high,redaction,names_only,abort,low,G6I,docs/protocols/common/adapters/20260722T095602Z
R11,paid_fallback,cost,high,high,ZERO_COST,block,abort,low,policy,docs/protocols/common/adapters/20260722T095602Z
R12,endpoint_feedback_conflation,eval,med,high,class_labels,separate_profiles,forbid_mix,low,reporting,docs/protocols/common/adapters/20260722T095602Z
R13,evaluator_method_endpoint_conflation,eval,med,high,A7_outside,forbid_eval_from_adapter,abort,low,G6I,docs/protocols/common/adapters/20260722T095602Z
R14,upstream_mutation,side_effect,med,high,readonly,workdir,abort,low,G6I,docs/protocols/common/adapters/20260722T095602Z
R15,fallback_query_hidden,output,high,high,ADAPTER_FALLBACK_OUTPUT,label,forbid_silent,low,G6I,docs/protocols/common/adapters/20260722T095602Z
R16,multiple_candidate_cherry_pick,output,med,high,final_sparql_policy,native_rule_only,abort,low,G6I,docs/protocols/common/adapters/20260722T095602Z
R17,semantic_cleaning,FIRE,med,high,variant_split,raw_vs_cleaned,forbid_mix,low,reporting,docs/protocols/common/adapters/20260722T095602Z
R18,training_on_test,train,med,high,split_seal,train_dev_only,invalidate,low,T9,docs/protocols/common/adapters/20260722T095602Z
R19,checkpoint_provenance,artifact,med,high,hash,pin,block,med,G8,docs/protocols/common/adapters/20260722T095602Z
R20,preprocessing_mismatch,SGPT,med,high,conformance,document,block,med,G5,docs/protocols/common/adapters/20260722T095602Z
R21,missing_output_normalization,output,med,high,mapping,require_final_sparql,fail,low,G6I,docs/protocols/common/adapters/20260722T095602Z
R22,unobservable_calls,obs,med,med,NOT_OBSERVABLE,no_fake_zeros,report,low,reporting,docs/protocols/common/adapters/20260722T095602Z
R23,unsupported_dataset,dataset,med,high,view_contract,reject,abort,low,G6I,docs/protocols/common/adapters/20260722T095602Z
R24,missing_native_runner,FIRE,high,high,surface_audit,negative_or_block,no_impl,high,T5,docs/protocols/common/adapters/20260722T095602Z
R25,legal_overreach,legal,med,high,T5,no_advice,stop,med,T5,docs/protocols/common/adapters/20260722T095602Z
R26,historical_result_reuse,FIRE/tebaqa,med,high,claim_boundary,forbid,abort,low,reporting,docs/protocols/common/adapters/20260722T095602Z
R27,benchmark_ready_overclaim,gates,high,high,gate_labels,G6D≠G6I,forbid,low,reporting,docs/protocols/common/adapters/20260722T095602Z
