adapter_status,common_failure_status,included_in_denominator,notes
ADAPTER_INPUT_REJECTED,METHOD_EXECUTION_ERROR,true,invalid CommonInput
ADAPTER_TRACK_VIOLATION,METHOD_EXECUTION_ERROR,true,invalidates comparability
ADAPTER_ARTIFACT_MISSING,METHOD_EXECUTION_ERROR,true,
ADAPTER_CONFIGURATION_INVALID,METHOD_EXECUTION_ERROR,true,
ADAPTER_SECRET_MISSING,SYSTEM_FAILURE,conditional,not silent abstention
ADAPTER_NETWORK_BLOCKED,SYSTEM_FAILURE,conditional,policy/ZERO_COST
ADAPTER_TIMEOUT,METHOD_TIMEOUT,true,
ADAPTER_UPSTREAM_IMPORT_ERROR,METHOD_EXECUTION_ERROR,true,
ADAPTER_UPSTREAM_EXECUTION_ERROR,METHOD_EXECUTION_ERROR,true,
ADAPTER_NO_OUTPUT,METHOD_NO_OUTPUT,true,≠ empty result
ADAPTER_ABSTENTION,METHOD_ABSTENTION,true,only if explicit
ADAPTER_FALLBACK_OUTPUT,METHOD_EXECUTION_ERROR,true,label fallback; not silent success
ADAPTER_OUTPUT_EXTRACTION_ERROR,METHOD_NO_OUTPUT,true,
ADAPTER_MULTIPLE_FINAL_QUERIES,METHOD_EXECUTION_ERROR,true,must resolve via native rule
ADAPTER_UNSAFE_SIDE_EFFECT,SYSTEM_FAILURE,true,abort
ADAPTER_EVIDENCE_INCOMPLETE,UNKNOWN,true,may invalidate run
ADAPTER_SUCCESS,n_a,true,maps to method success path
