artifact_path,n_rows_or_records,size_bytes,sha256,fields,role,kg,split,evidence
experiment_datasets/dblp/project_data/dblp_training_data4ft.json,7000,6617178,18547ce8d25711d8928422a7e3ad6551c00cd40266831e767c91ad31c6f41f0f,"instruction,input,output",ft_instruction,DBLP,train,DATA_VERIFIED
experiment_datasets/dblp/project_data/test_questions.csv,2000,747336,9eacc6fe136af23f9c90eabdc31fb1e67550c306739d3f795257ca9ddea4b2fb,"id,question,query",eval_test,DBLP,test,DATA_VERIFIED
experiment_datasets/dblp/test/answers.json,1,11752785,6511e48106493a7eec6664f1d3f4148e51c328b5dd56b4c5f7fa882c7794e239,answers,official_split,DBLP,test,DATA_VERIFIED
experiment_datasets/dblp/test/questions.json,1,1922490,7e6b10dfb6e8841f7487e82a38aa10c0ba5fb563549e5879dea91b3aa3c41049,questions,official_split,DBLP,test,DATA_VERIFIED
experiment_datasets/dblp/train/answers.json,1,46628300,21703508f0f21a1e2131339979b3951f6bd8c9cdd1908fe6de85fef909c662ca,answers,official_split,DBLP,train,DATA_VERIFIED
experiment_datasets/dblp/train/questions.json,1,6702203,82db7a67e1fa1493a63b1a1891227df276583b144d2963ebe6c6eb60c2c6296c,questions,official_split,DBLP,train,DATA_VERIFIED
experiment_datasets/dblp/valid/answers.json,1,4368243,492f1f1c3dc2f0d8c369e47b4d6e510278c1d09eeb956d5e2aafaa67f694a158,answers,official_split,DBLP,valid,DATA_VERIFIED
experiment_datasets/dblp/valid/questions.json,1,957016,2d02c1109f83735f8d1454aead2e3d73aa93375cbc98d97c501823e45155be1c,questions,official_split,DBLP,valid,DATA_VERIFIED
experiment_datasets/sciqa/all.json,1,7184394,9c57e9df35098845be0f9f4762f2b22cd94be864a1493be80a284ffb5844d60e,questions,full_dump,ORKG/SciQA,all,DATA_VERIFIED
experiment_datasets/sciqa/project_data/handcrafted.csv,100,35878,e364ffdd52010987ce2d3e90a523d0cdeedd39e5b8edb9537956561b696bbf6a,"question,query",handcrafted,ORKG/SciQA,subset,DATA_VERIFIED
experiment_datasets/sciqa/project_data/most_similar_questions.csv,513,670564,9b4150dd3c3eafc760bec6049d18c8fbf6fe8d50c4288ee4715759864d06f4fe,"id,test_question,test_query,best_train_question,train_query",one_shot_pairs,ORKG/SciQA,test×train,DATA_VERIFIED
experiment_datasets/sciqa/project_data/orkg-property.json,9062,758553,220f6d3d2409590dbf208b6915f31bb57607902f73bb5c96519367ea28cca2ad,"property,label",rag_properties,ORKG,ontology_props,DATA_VERIFIED
experiment_datasets/sciqa/project_data/rag_files/orkg-property.json,9062,758553,220f6d3d2409590dbf208b6915f31bb57607902f73bb5c96519367ea28cca2ad,"property,label",rag_index_copy,ORKG,ontology_props,DATA_VERIFIED
experiment_datasets/sciqa/project_data/sciqa_training_data4ft.json,1795,2151124,739c183cb29bff44eaa276fe8284d472f526f26df9d36ff633858540d45aef5e,"instruction,input,output",ft_instruction,ORKG/SciQA,train,DATA_VERIFIED
experiment_datasets/sciqa/project_data/test_questions.csv,513,333882,14c2ad8c4014ca19445e6735d5f08cc0e5cf356ac478d3b80f01727fece8fb06,"id,question,query",eval_test,ORKG/SciQA,test,DATA_VERIFIED
experiment_datasets/sciqa/project_data/train_questions.csv,1795,1148183,ae532eb31c9e752fe00f51be885984d7efb11d439c6688c64bd8c9f5bed374f7,"id,question,query",train_nlq,ORKG/SciQA,train,DATA_VERIFIED
experiment_datasets/sciqa/test/answers.json,1,906172,d60ac4d6295d3baa2612fb46f28dd07464977a9aa14f0de8c2d04db2b15b4740,answers,official_split,ORKG/SciQA,test,DATA_VERIFIED
experiment_datasets/sciqa/test/questions.json,1,566108,1f03775b4e5e02ff85be6d28efae48876a6a80702f3f00d87a0d0fe13c35ea86,questions,official_split,ORKG/SciQA,test,DATA_VERIFIED
experiment_datasets/sciqa/train/answers.json,1,3162307,a2367046b15050dcfb26db5b6d169beaf7854a6e56a2264cab8f90cc085226e2,answers,official_split,ORKG/SciQA,train,DATA_VERIFIED
experiment_datasets/sciqa/train/questions.json,1,1959149,d5cb58a0c2348e8d5743416818fc590a8d79f41b8cd59c5cfdcb7a23c0a6bcbb,questions,official_split,ORKG/SciQA,train,DATA_VERIFIED
experiment_datasets/sciqa/valid/answers.json,1,436687,3cab155f29b48dc84d17b4779e70902e092b2c4ec301291dd2fc1d05205335d8,answers,official_split,ORKG/SciQA,valid,DATA_VERIFIED
experiment_datasets/sciqa/valid/questions.json,1,274655,26506e2179b3cf9043d76b9a63194d56ee6031eb66ec52ff2220bc85eb071460,questions,official_split,ORKG/SciQA,valid,DATA_VERIFIED
