risk_id,risk,component,probability,impact,detection,mitigation,stop_condition,residual_risk,future_gate,evidence
Q01,mutable_source,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,source_pin_lock,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q02,wrong_commit,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,verify_sha,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q03,wrong_path,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,four_file_allowlist,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q04,mirror_substitution,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,deny_mirrors,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q05,unexpected_redirect,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,allowlist_hosts,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q06,oversized_response,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,max_8MB,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q07,HTML_error_saved_as_JSON,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,content_type_and_json_parse,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q08,blob_mismatch,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,git_blob_check,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q09,absence_of_published_SHA256,QALD9PLUS_EN_DBPEDIA_T6B,med,med,package_validation,local_sha256_required,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q10,partial_download,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,size_check,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q11,line_ending_normalization,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,raw_bytes_only,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q12,license_omission,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,four_file_include_LICENSE,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q13,citation_omission,QALD9PLUS_EN_DBPEDIA_T6B,med,med,package_validation,four_file_include_CITATION,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q14,test_leakage,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,test_seal_plan,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q15,test_content_in_logs,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,log_policy,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q16,train_test_overlap,QALD9PLUS_EN_DBPEDIA_T6B,med,med,package_validation,post_download_check,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q17,count_mismatch,QALD9PLUS_EN_DBPEDIA_T6B,med,med,package_validation,conditional_stop,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q18,schema_mismatch,QALD9PLUS_EN_DBPEDIA_T6B,med,med,package_validation,json_schema_summary,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q19,English_view_mismatch,QALD9PLUS_EN_DBPEDIA_T6B,med,med,package_validation,coverage_count_no_print,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q20,DBpedia_Wikidata_confusion,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,exclude_wikidata_files,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q21,graph_version_ambiguity,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,graph_pending_separate,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q22,unauthorized_graph_access,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,T6B_forbid_SPARQL,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q23,untracked_payload_committed,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,workdir_gitignore,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q24,authorization_reuse,QALD9PLUS_EN_DBPEDIA_T6B,med,high,package_validation,consume_after_attempt,FAIL_OR_ABORT,med,T6B,20260722T105246Z
Q25,automatic_retry_outside_scope,QALD9PLUS_EN_DBPEDIA_T6B,med,med,package_validation,max_2_retries_same_attempt,FAIL_OR_ABORT,med,T6B,20260722T105246Z
