action_id,method_id,action_title,legal_gate,external_cost_usd,execution_required,download_required,authorization_required,expected_new_evidence,would_change_reproduction_status,phase_value,scientific_increment,resource_risk,claim_risk,prerequisites,stop_conditions,decision_class,rationale,confidence
Q1,sgpt,SGPT_FULL_NLTK_METRIC_PREFLIGHT,allowed_conditional,0.0,True,True,True,NLTK/spaCy metric path only,false,low,low,low,auth_consumed_risk,auth+download,stop_if_train,GO_AFTER_AUTHORIZATION,Low incremental; does not change article reproduction; needs new auth,high
Q2,sgpt,SGPT_FULL_TRAINING_OR_TABLE4,allowed_conditional,0.0,True,False,True,full train / Table4,true_if_success,phase1_goal,high,high,high,paper_ckpt_absent;VRAM,NO_GO resources,NO_GO_NO_INCREMENTAL_SCIENTIFIC_VALUE,Incompatible resources; paper ckpt absent; not proportional; not authorized; not ZERO_COST-reasonable,high
Q3,sparql_llm,SPARQL_LLM_PAID_ONLINE_SMOKE,api_cost,>0.00,True,False,True,online API smoke,maybe,phase1,med,med,policy,ZERO_COST_policy,stop_if_paid,NO_GO_ZERO_COST_POLICY,Violates MAX_EXTERNAL_MONETARY_COST_USD=0.00,high
Q4,sparql_llm,SPARQL_LLM_LOCAL_MODEL_SUBSTITUTION,allowed,0.0,True,True,True,local substitute model,false,phase1,low,med,substitution,not_native,SUBSTITUTION_NOT_NATIVE,Would not be native sparql_llm reproduction,high,
Q5,rdfconfig_llm,RDFCONFIG_GENERATOR_LICENSE_CLOSURE,documental,0.0,False,False,False,license UNKNOWN possible,false,phase1,med,low,low,docs_only,DOCUMENT_ONLY,Documentary; may remain UNKNOWN; competes with Q11 inventory,med,
Q6,rdfconfig_llm,RDFCONFIG_COMPANION_ENVIRONMENT,companion_mit,0.0,True,False,False,Ruby companion env,false,phase1,low,med,low,Ruby_ABSENT,HOLD_HARDWARE,Companion ≠ generator; Ruby absent,high,
Q7,firesparql,FIRESPARQL_RESULT_CONSISTENCY_CLOSURE,legal_blocked,0.0,False,False,False,result consistency docs,false,phase1,med,low,claim,results≠reproduction,DOCUMENT_ONLY,Useful docs but code legally blocked; results≠reproduction,high,
Q8,firesparql,FIRESPARQL_LAB_METRIC_PROTOCOL,not_native,0.0,False,False,False,lab metric protocol,false,phase2_prep,low,low,low,phase2,DEFERRED,Low priority before Phase 2; not native,high,
Q9,mkgqagent,MKGQAGENT_EXECUTION,HOLD_LEGAL,0.0,True,False,True,execution,maybe,phase1,high,high,legal,license,HOLD_LEGAL,Legal hold remains,high,
Q10,cot_sparql,COT_SPARQL_EXECUTION,HOLD_LEGAL_AND_HARDWARE,0.0,True,True,True,execution,maybe,phase1,high,high,legal+hw,34B_GPTQ,HOLD_LEGAL_AND_HARDWARE,Legal and hardware barriers,high,
Q11,lab,GLOBAL_PHASE1_NATIVE_AUDIT_FINAL_GATE,documental,0.0,False,False,False,six-method inventory; success/smoke/block/impossibility; transition decision; no adapters,true_phase_gate,phase1_close,high,low,low,SGPT_Z3_closed,DOCUMENT_ONLY_then_GO,GO_NEXT_ZERO_COST,"Lexicographic winner: 0 cost, legal, incremental Phase1 closure, no duplicate train, no instrumentation re-run",high
Q12,sgpt,REPEAT_SGPT_ONE_STEP_FOR_INSTRUMENTATION,auth_required,0.0,True,False,True,direct optimizer hook only,false,none,none,med,claim,auth_consumed,NO_GO_NO_INCREMENTAL_SCIENTIFIC_VALUE,No scientific increment; must not re-train only to fix counter,high,
