method_id,result_id,dataset,partition,configuration,metric,value,model,gold_or_provided_entities_K,source,notes
sgpt,T4_SGPTQ_LCQUAD2,LC-QuAD 2.0,test (6046; paper Table 2 original split),SGPT_Q (no additional knowledge K),BLEU,60.50,GPT-2 117M decoder + Transformer encoders (8 heads 6 layers),no,"DOI HTML table extract https://doi.org/10.1109/ACCESS.2022.3188714 Table 4",Reported only; not reproduced
sgpt,T4_SGPTQ_LCQUAD2,LC-QuAD 2.0,test,SGPT_Q,F1,83.45,GPT-2 117M,no,same,Reported only
sgpt,T4_SGPTQ_LCQUAD2,LC-QuAD 2.0,test,SGPT_Q,SP-BLEU,63.59,GPT-2 117M,no,same,Reported only
sgpt,T4_SGPTQ_LCQUAD2,LC-QuAD 2.0,test,SGPT_Q,SP-F1,86.22,GPT-2 117M,no,same,Reported only
sgpt,T4_SGPTQ_VQUANDA,VQuAnDa,test (1000),SGPT_Q,BLEU,63.82,GPT-2 117M,no,same,Reported only
sgpt,T4_SGPTQ_VQUANDA,VQuAnDa,test,SGPT_Q,F1,87.08,GPT-2 117M,no,same,Reported only
sgpt,T4_SGPTQ_VQUANDA,VQuAnDa,test,SGPT_Q,SP-BLEU,63.82,GPT-2 117M,no,same,Reported only
sgpt,T4_SGPTQ_VQUANDA,VQuAnDa,test,SGPT_Q,SP-F1,87.08,GPT-2 117M,no,same,Reported only
sgpt,T4_SGPTQ_QALD9,QALD-9 English,test (150),SGPT_Q,BLEU,29.95,GPT-2 117M,no,same,Reported only
sgpt,T4_SGPTQ_QALD9,QALD-9 English,test,SGPT_Q,F1,60.22,GPT-2 117M,no,same,Reported only
sgpt,T4_SGPTQ_QALD9,QALD-9 English,test,SGPT_Q,SP-BLEU,32.12,GPT-2 117M,no,same,Reported only
sgpt,T4_SGPTQ_QALD9,QALD-9 English,test,SGPT_Q,SP-F1,64.57,GPT-2 117M,no,same,Reported only
sgpt,T4_SGPTQK_LCQUAD2,LC-QuAD 2.0,test,SGPT_Q_K (entities provided as K),BLEU,73.78,GPT-2 117M,provided_entities_as_K,same,"Paper §IV-A: entities mentioned in the question are provided as K. Paper does not use the phrase 'gold entity linking'; provenance of IDs in runs: UNKNOWN without code audit."
sgpt,T4_SGPTQK_LCQUAD2,LC-QuAD 2.0,test,SGPT_Q_K,F1,89.04,GPT-2 117M,provided_entities_as_K,same,Reported only
sgpt,T4_SGPTQK_LCQUAD2,LC-QuAD 2.0,test,SGPT_Q_K,SP-BLEU,77.85,GPT-2 117M,provided_entities_as_K,same,Reported only
sgpt,T4_SGPTQK_LCQUAD2,LC-QuAD 2.0,test,SGPT_Q_K,SP-F1,92.27,GPT-2 117M,provided_entities_as_K,same,Reported only
sgpt,T4_SGPTQK_VQUANDA,VQuAnDa,test,SGPT_Q_K,BLEU,72.58,GPT-2 117M,provided_entities_as_K,same,Reported only
sgpt,T4_SGPTQK_VQUANDA,VQuAnDa,test,SGPT_Q_K,F1,88.87,GPT-2 117M,provided_entities_as_K,same,Reported only
sgpt,T4_SGPTQK_VQUANDA,VQuAnDa,test,SGPT_Q_K,SP-BLEU,72.58,GPT-2 117M,provided_entities_as_K,same,Reported only
sgpt,T4_SGPTQK_VQUANDA,VQuAnDa,test,SGPT_Q_K,SP-F1,88.87,GPT-2 117M,provided_entities_as_K,same,Reported only
sgpt,T4_SGPTQK_QALD9,QALD-9 English,test,SGPT_Q_K,BLEU,35.68,GPT-2 117M,provided_entities_as_K,same,Reported only
sgpt,T4_SGPTQK_QALD9,QALD-9 English,test,SGPT_Q_K,F1,67.82,GPT-2 117M,provided_entities_as_K,same,Reported only
