order,action,vehicle,status
1,CLOSE_DBPEDIA_2016_10_ENDPOINT_EQUIVALENT_FILE_SCOPE,Prompt_23B_documentary,OPEN
2,HUMAN_GRAPH_ACQUISITION_AUTHORIZATION,human_gate,BLOCKED_UNTIL_FILE_SCOPE
3,GRAPH_CONTROLLED_ACQUISITION,Prompt_24B_reserved,BLOCKED
4,GRAPH_DEPLOYMENT_AUTHORIZATION_PACKAGE,documentary,BLOCKED
5,GRAPH_DEPLOYMENT_AND_LOAD,runtime,BLOCKED
6,GRAPH_RUNTIME_VALIDATION,runtime,BLOCKED
7,GOLD_MATERIALIZATION,runtime,BLOCKED
8,METRIC_IMPLEMENTATION_AND_CONFORMANCE,implementation,BLOCKED
9,G6I_G7_ADAPTER_IMPLEMENTATION_DECISION,decision,BLOCKED
10,ADAPTER_IMPLEMENTATION,implementation,BLOCKED
11,COMMON_PREFLIGHT,runtime,BLOCKED
12,BENCHMARK,runtime,BLOCKED
13,CASE_STUDY,research,BLOCKED
