order,action,vehicle,status
1,HUMAN_GRAPH_ACQUISITION_AUTHORIZATION,human_gate,OPEN
2,GRAPH_CONTROLLED_ACQUISITION_COMPRESSED_ONLY,Prompt_24B_reserved,BLOCKED_UNTIL_HUMAN_AUTH
3,GRAPH_DEPLOYMENT_RESOURCE_AND_AUTHORIZATION_PACKAGE,documentary,BLOCKED
4,GRAPH_DECOMPRESSION_AND_LOAD,runtime,BLOCKED
5,GRAPH_RUNTIME_VALIDATION,runtime,BLOCKED
6,GOLD_MATERIALIZATION,runtime,BLOCKED
7,METRIC_IMPLEMENTATION_AND_CONFORMANCE,implementation,BLOCKED
8,G6I_G7_ADAPTER_IMPLEMENTATION_DECISION,decision,BLOCKED
9,ADAPTER_IMPLEMENTATION,implementation,BLOCKED
10,COMMON_PREFLIGHT,runtime,BLOCKED
11,BENCHMARK,runtime,BLOCKED
12,CASE_STUDY,research,BLOCKED
