variant_id,track,allowed,prohibited,status
sparql_llm_schema_common_native,IA_SCHEMA_COMMON,question;schema_bundle_ref;model,oracle;gold;external_grounding,INPUT_MAPPING_DEFINED
sparql_llm_schema_common_internal_feedback,IA_SCHEMA_COMMON,question;schema_bundle_ref;model,gold,INPUT_MAPPING_DEFINED
sgpt_q,IA_Q_ONLY,question,oracle;gold,INPUT_MAPPING_DEFINED
sgpt_qk,IA_ORACLE_GROUNDING,question;oracle_roles,gold_answers;gold_sparql_full,INPUT_MAPPING_DEFINED
mkgqagent_q_only_agentic,IA_Q_ONLY,question;dataset_id,gold;oracle,INPUT_MAPPING_DEFINED
rdfconfig_domain_native,IA_DOMAIN_NATIVE,question;db;prompt_id,gold;qald_as_primary,INPUT_MAPPING_DEFINED
rdfconfig_schema_common_dbpedia,IA_SCHEMA_COMMON,n_a,all_execution,ADAPTER_NEGATIVE_CONTRACT_DEFINED
cot_native_external_services,IA_FIXED_EXTERNAL_GROUNDING,question;external_grounding;retrieval_train,gold;test_retrieval,INPUT_MAPPING_DEFINED
cot_common_frozen_grounding,IA_FIXED_EXTERNAL_GROUNDING,question;frozen_grounding,gold,INPUT_MAPPING_DEFINED
firesparql_raw_generation,IA_DOMAIN_NATIVE,question;orkg_context,qald_primary,INPUT_MAPPING_DEFINED
firesparql_cleaned_generation,IA_DOMAIN_NATIVE,question,qald_primary,INPUT_MAPPING_DEFINED
firesparql_rag,IA_DOMAIN_NATIVE,question;rag_context,qald_primary,INPUT_MAPPING_DEFINED
tebaqa_historical,IA_HISTORICAL,n_a,all,CONTRACT_HISTORICAL_ONLY
