object_id,object_type,algorithm,value,guarantees,does_not_guarantee,status
qald9plus_repo_commit,repository_commit_sha,git_sha1,8eb038a61e1bc09cbd21640aa667a1714f53cda4,immutable_repo_tree_state,payload_sha256,REPOSITORY_COMMIT_PIN_VERIFIED
qald9plus_train_dbpedia_blob,git_blob_oid,git_sha1,cce48cbdf2af7f5e8ce59308dda667de7fc209b8,git_blob_content_identity,must_not_label_as_sha256,GIT_BLOB_OID_VERIFIED
qald9plus_test_dbpedia_blob,git_blob_oid,git_sha1,06cc04be82be7c807631a419670fb011a9565ec1,git_blob_content_identity,must_not_label_as_sha256,GIT_BLOB_OID_VERIFIED
qald9plus_published_file_checksum,published_checksum,NOT_PUBLISHED,NOT_PUBLISHED_PENDING_CONTROLLED_ACQUISITION,n_a,n_a,NOT_PUBLISHED
lcquad2_repo_commit,repository_commit_sha,git_sha1,0a5f8f85b6f863c3b80f0fa02839e25d438af3ae,immutable_repo_tree_state,payload_sha256,REPOSITORY_COMMIT_PIN_VERIFIED
lcquad2_train_blob,git_blob_oid,git_sha1,1a972fb91a6ce480e34cbbb3c88532a40e3d9d7c,git_blob_content_identity,must_not_label_as_sha256,GIT_BLOB_OID_VERIFIED
lcquad2_test_blob,git_blob_oid,git_sha1,9efb5c1e883b9c1ba9df6a2e81591ba908a0011f,git_blob_content_identity,must_not_label_as_sha256,GIT_BLOB_OID_VERIFIED
sgpt_lcquad2_train_local,local_payload_sha256,sha256,e001876e4329e4c2144c8aea9f6c2b012c5342ad0210ea38de4c9a17c7fdbb23,local_existing_file_bytes,equality_to_authors_blob,LOCAL_SHA256_VERIFIED
mkg_qald_train_en_local,local_payload_sha256,sha256,6bd0913f5dc843404e8b83f4d63e1b4b2294181318ee288c00d1f9a81daa53ad,local_existing_file_bytes,canonical_qald9plus,LOCAL_SHA256_VERIFIED
metadata_responses,metadata_response_sha256,sha256,see_logs/dataset-provenance/20260722T090627Z/metadata.sha256,api_html_response_bytes,dataset_payload,LOCAL_SHA256_VERIFIED
