capability,current_status,required_profile,artifact,network_required,download_required,gpu_required,zero_cost_compatible,blocker,next_action,evidence
native_declared_spec,documented_not_resolved,NATIVE_DECLARED,environments/sgpt/RUNTIME_PROFILES.md,false,false,false,true,unresolved_pins,Prompt_12B_pin_resolution,README_REPORTED;CODE_VERIFIED
dependency_manifest,documented,NATIVE_DECLARED,environments/sgpt/DEPENDENCY_MANIFEST.yaml,false,false,false,true,transformers_unpinned,Prompt_12B,AST+requirements
python_runtime,mismatch_host_3.10_vs_declared_3.8,NATIVE_DECLARED,ENVIRONMENT_SPEC.yaml,false,false,false,true,need_container_py38,resolve_image_digest,MACHINE_VERIFIED;README_REPORTED
torch_runtime,declared_1.13.1_not_installed,NATIVE_DECLARED,requirements.txt,true,true,false,true,not_installed,future_install_after_12B,CODE_VERIFIED
transformers_pin,UNKNOWN_unpinned,NATIVE_DECLARED,IMPORT_COMPATIBILITY_REQUIREMENTS.csv,false,false,false,true,no_exact_pin,Prompt_12B_metadata,CODE_VERIFIED
spacy_model,not_downloaded,Z2_or_data,DATA_AND_ARTIFACT_CONTRACT.md,true,true,false,true,download_auth,defer,CODE_VERIFIED;README
nltk_resources,not_downloaded,Z2,METRIC_PREFLIGHT_BOUNDARY.md,true,true,false,true,download_auth,defer,CODE_VERIFIED
gpt2_base,not_downloaded,Z3,MODEL_AND_CHECKPOINT_BOUNDARY.md,true,true,false,true,download_auth;not_for_Z2,defer_Z3,CODE_VERIFIED
sgpt_checkpoint,NOT_FOUND,evaluation,CHECKPOINT_AND_RESULTS_INVENTORY.md,false,false,false,true,absent_in_repo,none_available,NOT_FOUND
data_contract,ready_documented,Z2,DATA_AND_ARTIFACT_CONTRACT.md,false,false,false,true,none,use_in_Z2,DATA_VERIFIED
metric_unit_preflight,specified_not_run,Z2,Z2_DATA_METRIC_PREFLIGHT_SPEC.md,false,false,false,true,needs_env,after_env_build,PROPOSED
import_preflight,specified_not_run,Z2,Z2_DATA_METRIC_PREFLIGHT_SPEC.md,false,false,false,true,needs_pins,after_12B_and_build,PROPOSED
reduced_training_smoke,blocked_pending_Z2_and_download_authorization,Z3,RUNTIME_PROFILES.md,true,true,conditional,true,Z2_and_auth,defer,PROPOSED
native_table4_reproduction,not_ready,NATIVE_DECLARED,PAPER_TABLE4_CODE_MAPPING.csv,true,true,true,false,checkpoints_VRAM_metrics_split_drift,do_not_claim,NOT_FOUND;PAPER_REPORTED
