risk_id,risk,component,probability,impact,detection,mitigation,stop_condition,residual_risk,future_gate,evidence
R01,graph_drift,graph,med,high,snapshot_hash,pin_snapshot,no_benchmark_without_pin,med,G4,PHASE2_GRAPH
R02,gold_query_invalidity,gold,med,high,parse_safety,adjudicate_global,exclude_or_block,med,gold_mat,GOLD_CONTRACT
R03,empty_result_ambiguity,metrics,med,high,status_codes,empty≠no_output,forbid_conflation,low,G5_impl,ANSWER_CONTRACT
R04,no_output_vs_empty,metrics,high,high,failure_matrix,explicit_statuses,score0_for_no_output,low,G5_impl,FAILURE_MATRIX
R05,set_vs_bag,canonicalization,med,med,bag_diagnostic,SET_OF_ROWS_primary,no_silent_bag,low,G5_impl,RESULT_TABLE
R06,variable_alignment,canonicalization,med,high,multi_col_contract,lexmin_permutation,arity_limit,med,G5_impl,RESULT_TABLE
R07,blank_node_instability,canonicalization,med,high,bnode_policy,global_unresolved,no_single_method_penalty,med,G5_impl,RDF_TERM
R08,datatype_equivalence,canonicalization,med,med,value_space_rules,profile_V1,no_tolerance,low,G5_impl,RDF_TERM
R09,timezone_assumptions,canonicalization,med,med,both_tz_rule,no_invent_tz,unequal_if_missing,low,G5_impl,RDF_TERM
R10,IRI_over_normalization,canonicalization,med,high,no_slash_strip,conservative_IRI,forbid_owl_sameAs,low,G5_impl,RDF_TERM
R11,owl_sameAs_leakage,semantics,low,high,policy_forbid,explicit_forbid,stop_if_used,low,G5_impl,RDF_TERM
R12,parser_specific_norm,sparql,med,med,conservative_profile,document_parser,version_pin,med,G5_impl,SPARQL_CANON
R13,unsafe_SERVICE,safety,med,high,safety_contract,UNSAFE→0,forbid_unallowlisted,low,preflight,SAFETY
R14,answer_query_metric_conflation,claims,high,high,family_labels,structure=diagnostic,forbid_substitute,low,reporting,QUERY_STRUCTURE
R15,inferred_linking_scores,linking,high,high,observability,NOT_OBSERVABLE,forbid_infer_from_query,low,G5_impl,LINKING
R16,hidden_oracle_input,oracle,med,high,manifest_roles,declare_roles,sgpt_q≠qk,low,T4,ORACLE
R17,external_linker_drift,external,med,high,freeze_manifest,one_eval_linker,rerun_if_drift,med,T4,FIXED_EXT
R18,success_only_denominator,aggregation,high,high,failure_matrix,failures_in_denom,forbid_success_only,low,reporting,AGGREGATION
R19,best_of_candidate,method,med,high,final_sparql_only,no_posthoc_best,stop_if_detected,low,adapter,ANSWER
R20,test_leakage,protocol,med,high,leakage_policy,seal_test,invalidate,med,T9,PROMPT16
R21,stochastic_best_seed,stats,med,high,replicate_contract,no_best_seed,report_all,low,stats,REPLICATE
R22,multiple_comparisons,stats,high,med,Holm,family_defined,report_corrected,low,stats,STATISTICAL
R23,cross_track_ranking,claims,high,high,comparison_matrix,forbid,stop,low,reporting,CLAIM_BOUNDARY
R24,evaluator_bugs,implementation,med,high,conformance_vectors,fix_before_benchmark,INVALIDATE,med,G5_runtime,VECTORS
R25,metric_version_drift,versioning,med,high,version_hash,single_version_per_bench,recalculate,low,versioning,VERSIONING
R26,posthoc_metric_changes,governance,med,high,change_control,MAJOR+rerun,forbid_silent,low,versioning,VERSIONING
