method_id,variant_id,contract_id,track_id,execution_profile,adaptation_regime,model_control_regime,dataset_view,native_or_controlled,contract_status,legal_status,runtime_status,artifact_status,network_class,training_required,internal_endpoint_feedback,output_surface,direct_comparison_group,implementation_candidate,negative_contract,historical,claim_boundary,evidence
sparql_llm,sparql_llm_schema_common_native,AC_SPARQL_LLM_SCHEMA_COMMON_NATIVE,IA_SCHEMA_COMMON,generate_only,AR_ZERO_SHOT,MC_NATIVE_BACKBONE,QALD9_PLUS_EN_DBPEDIA,native,ADAPTER_CONTRACT_DEFINED,LEGAL_VERIFIED_MIT,RUNTIME_GATE_PENDING,schema_index_pending,METHOD_INTERNAL_LLM_CALL,false,false,POST_/chat,schema_common_e2e_generate_only,true,false,false,not_Q_ONLY,docs/protocols/common/adapters/20260722T095602Z
sparql_llm,sparql_llm_schema_common_internal_feedback,AC_SPARQL_LLM_SCHEMA_COMMON_INTERNAL_FEEDBACK,IA_SCHEMA_COMMON,internal_feedback,AR_ZERO_SHOT,MC_NATIVE_BACKBONE,QALD9_PLUS_EN_DBPEDIA,native,ADAPTER_CONTRACT_DEFINED,LEGAL_VERIFIED_MIT,BLOCKED_UNTIL_G4,endpoint_pending,METHOD_INTERNAL_ENDPOINT_FEEDBACK,false,true,POST_/chat,schema_common_internal_feedback,true,false,false,separate_from_generate_only,docs/protocols/common/adapters/20260722T095602Z
sgpt,sgpt_q,AC_SGPT_Q,IA_Q_ONLY,supervised_q,AR_SUPERVISED_TRAIN_SPLIT,MC_NATIVE_BACKBONE,QALD9_PLUS_EN_DBPEDIA,native,ADAPTER_CONTRACT_DEFINED,LEGAL_VERIFIED_MIT,RUNTIME_GATE_PENDING,checkpoint_pending,none,true,false,eval_string,q_only_supervised,true,false,false,neq_qk,docs/protocols/common/adapters/20260722T095602Z
sgpt,sgpt_qk,AC_SGPT_QK,IA_ORACLE_GROUNDING,supervised_qk,AR_ORACLE_INPUT,MC_NATIVE_BACKBONE,QALD9_PLUS_EN_DBPEDIA,native,ADAPTER_CONTRACT_DEFINED,LEGAL_VERIFIED_MIT,RUNTIME_GATE_PENDING,checkpoint_oracle_pending,none,true,false,eval_string,oracle_grounding,true,false,false,FORBIDDEN_vs_q,docs/protocols/common/adapters/20260722T095602Z
mkgqagent,mkgqagent_q_only_agentic,AC_MKGQAGENT_Q_ONLY,IA_Q_ONLY,agentic,AR_ZERO_SHOT,MC_NATIVE_BACKBONE,QALD9_PLUS_EN_DBPEDIA,native,CONTRACT_BLOCKED_LEGAL,LICENSE_NOT_CONFIRMED,RUNTIME_GATE_PENDING,hub_prompt_pending,LLM+EL+endpoint,false,true,GET_/api,q_only_e2e,false,false,false,legal_blocked,docs/protocols/common/adapters/20260722T095602Z
rdfconfig_llm,rdfconfig_domain_native,AC_RDFCONFIG_DOMAIN_NATIVE,IA_DOMAIN_NATIVE,domain_yaml_ruby,AR_ZERO_SHOT,MC_NATIVE_BACKBONE,DOMAIN_NATIVE,native,CONTRACT_DOMAIN_NATIVE_ONLY,LICENSE_NOT_CONFIRMED,RUNTIME_GATE_PENDING,domain_config_present,METHOD_INTERNAL_LLM_CALL,false,false,rdf-config_CLI,domain_native_life_science,false,false,false,not_QALD,docs/protocols/common/adapters/20260722T095602Z
rdfconfig_llm,rdfconfig_schema_common_dbpedia,AC_RDFCONFIG_SCHEMA_COMMON_DBPEDIA_NEGATIVE,IA_SCHEMA_COMMON,negative,AR_ZERO_SHOT,MC_NATIVE_BACKBONE,QALD9_PLUS_EN_DBPEDIA,n_a,ADAPTER_NEGATIVE_CONTRACT_DEFINED,LICENSE_NOT_CONFIRMED,CONTRACT_BLOCKED_MISSING_ARTIFACT,common_bundle_MISSING,n_a,false,false,n_a,n_a,false,true,false,negative,docs/protocols/common/adapters/20260722T095602Z
cot_sparql,cot_native_external_services,AC_COT_SPARQL_NATIVE_EXTERNAL,IA_FIXED_EXTERNAL_GROUNDING,native_linkers,AR_FEW_SHOT_TRAIN_ONLY,MC_NATIVE_BACKBONE,QALD9_PLUS_EN_DBPEDIA,native,CONTRACT_BLOCKED_LEGAL,LICENSE_NOT_CONFIRMED,CONTRACT_BLOCKED_RUNTIME,artifacts_missing,LLM+linker+endpoint,false,true,main.py,fixed_external_native,false,false,false,not_e2e_Q,docs/protocols/common/adapters/20260722T095602Z
cot_sparql,cot_common_frozen_grounding,AC_COT_SPARQL_FROZEN_GROUNDING,IA_FIXED_EXTERNAL_GROUNDING,frozen_common,AR_FEW_SHOT_TRAIN_ONLY,MC_NATIVE_BACKBONE,QALD9_PLUS_EN_DBPEDIA,controlled,ADAPTER_CONTRACT_DEFINED,LICENSE_NOT_CONFIRMED,CONTRACT_BLOCKED_RUNTIME,manifest_pending,LLM,false,false,main.py,fixed_external_frozen,false,false,false,not_native_repro,docs/protocols/common/adapters/20260722T095602Z
firesparql,firesparql_raw_generation,AC_FIRESPARQL_DOMAIN_NATIVE,IA_DOMAIN_NATIVE,raw,AR_DOMAIN_RETRAINED,MC_NATIVE_BACKBONE,ORKG_SCIQA_NATIVE,native,CONTRACT_DOMAIN_NATIVE_ONLY,LICENSE_NOT_CONFIRMED,CONTRACT_BLOCKED_MISSING_NATIVE_SURFACE,trainer_runner_MISSING,UNKNOWN,true,false,codes_partial,domain_orkg_raw,false,false,false,not_QALD,docs/protocols/common/adapters/20260722T095602Z
