file_identity,prompt23_status,prompt23b_status,change_type,old_url,new_url,old_size,new_size,old_requirement,new_requirement,reason,evidence
article_categories_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/article_categories_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/article_categories_en.ttl.bz2,236365092,236365092,true,true,retained,Prompt23B
category_labels_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/category_labels_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/category_labels_en.ttl.bz2,17447841,17447841,true,true,retained,Prompt23B
disambiguations_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/disambiguations_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/disambiguations_en.ttl.bz2,13344953,13344953,true,true,retained,Prompt23B
external_links_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/external_links_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/external_links_en.ttl.bz2,167510717,167510717,true,true,retained,Prompt23B
freebase_links_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/freebase_links_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/freebase_links_en.ttl.bz2,85282055,85282055,true,true,retained,Prompt23B
geo_coordinates_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/geo_coordinates_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/geo_coordinates_en.ttl.bz2,17598860,17598860,true,true,retained,Prompt23B
geo_coordinates_mappingbased_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/geo_coordinates_mappingbased_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/geo_coordinates_mappingbased_en.ttl.bz2,17379613,17379613,true,true,retained,Prompt23B
geonames_links_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/geonames_links_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/geonames_links_en.ttl.bz2,4010348,4010348,true,true,retained,Prompt23B
homepages_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/homepages_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/homepages_en.ttl.bz2,12326604,12326604,true,true,retained,Prompt23B
images_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/images_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/images_en.ttl.bz2,94728001,94728001,true,true,retained,Prompt23B
infobox_properties_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/infobox_properties_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/infobox_properties_en.ttl.bz2,492733142,492733142,true,true,retained,Prompt23B
infobox_property_definitions_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/infobox_property_definitions_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/infobox_property_definitions_en.ttl.bz2,788573,788573,true,true,retained,Prompt23B
instance_types_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_en.ttl.bz2,42351931,42351931,true,true,retained,Prompt23B
instance_types_transitive_en.ttl.bz2,METADATA_SIZE_VERIFIED_PAYLOAD_NOT_ACQUIRED,RETAINED_CANONICAL,UNCHANGED,https://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_transitive_en.ttl.bz2,https://downloads.dbpedia.org/2016-10/core-i18n/en/instance_types_transitive_en.ttl.bz2,131023326,131023326,true,true,retained,Prompt23B
