variant_id,artifacts,hash_required,test_artifacts_forbidden,status
sparql_llm_schema_common_native,schema_index;model_revision;prompt,true,true,ARTIFACT_CONTRACT_DEFINED
sparql_llm_schema_common_internal_feedback,schema_index;endpoint_config;model,true,true,ARTIFACT_CONTRACT_DEFINED
sgpt_q,checkpoint;preprocessor;tokenizer,true,true,ARTIFACT_CONTRACT_DEFINED
sgpt_qk,checkpoint;preprocessor;oracle_manifest,true,true,ARTIFACT_CONTRACT_DEFINED
mkgqagent_q_only_agentic,model;langchain_hub_preacquired;experience_pool,true,true,ARTIFACT_CONTRACT_DEFINED
rdfconfig_domain_native,domain_config;ruby_companion;generator,true,true,ARTIFACT_CONTRACT_DEFINED
rdfconfig_schema_common_dbpedia,common_qald_schema_bundle=MISSING,true,true,ARTIFACT_CONTRACT_DEFINED
cot_native_external_services,retrieval_train_index;model_34b;linker_configs,true,true,ARTIFACT_CONTRACT_DEFINED
cot_common_frozen_grounding,frozen_grounding_manifest;model,true,true,ARTIFACT_CONTRACT_DEFINED
firesparql_raw_generation,checkpoint;trainer=MISSING;runner=MISSING,true,true,ARTIFACT_CONTRACT_DEFINED
firesparql_cleaned_generation,checkpoint;cleaning_model,true,true,ARTIFACT_CONTRACT_DEFINED
firesparql_rag,checkpoint;rag_index,true,true,ARTIFACT_CONTRACT_DEFINED
