service_id,method_variants,service_role,terms_url,privacy_url,acceptable_use_url,pricing_url,retrieved_at,response_hash,authentication,paid_or_free,zero_cost_compatible,data_sent,output_rights_status,retention_status,automated_access_status,terms_status,contract_impact,evidence
OpenAI,sparql_llm;mkg;fire_cleaned,LLM,https://openai.com/policies/terms-of-use,https://openai.com/policies/privacy-policy,https://openai.com/policies/usage-policies,https://openai.com/pricing,2026-07-22,URL_INVENTORY_ONLY_NOT_FULL_PAGE,auth,paid,false,prompts_or_queries_possible,UNKNOWN,UNKNOWN,UNKNOWN,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,G3S_CONDITIONAL,Prompt20_inventory
OpenRouter,sparql_llm,LLM_router,https://openrouter.ai/terms,https://openrouter.ai/privacy,,https://openrouter.ai/docs,2026-07-22,URL_INVENTORY_ONLY_NOT_FULL_PAGE,auth,paid,false,prompts_or_queries_possible,UNKNOWN,UNKNOWN,UNKNOWN,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,G3S_CONDITIONAL,Prompt20_inventory
Groq,possible,LLM,https://groq.com/terms-of-use/,,,,2026-07-22,URL_INVENTORY_ONLY_NOT_FULL_PAGE,auth,paid_or_free,false,prompts_or_queries_possible,UNKNOWN,UNKNOWN,UNKNOWN,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,G3S_CONDITIONAL,Prompt20_inventory
HuggingFace_Hub,sgpt;fire;cot,artifact_host,https://huggingface.co/terms-of-service,https://huggingface.co/privacy,,,2026-07-22,URL_INVENTORY_ONLY_NOT_FULL_PAGE,optional_auth,mixed,conditional,prompts_or_queries_possible,UNKNOWN,UNKNOWN,UNKNOWN,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,G3S_CONDITIONAL,Prompt20_inventory
DBpedia_endpoint,common_eval;mkg,SPARQL,https://www.dbpedia.org/,,,,2026-07-22,URL_INVENTORY_ONLY_NOT_FULL_PAGE,none_typical,free_public,false,prompts_or_queries_possible,UNKNOWN,UNKNOWN,UNKNOWN,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,G3S_CONDITIONAL,Prompt20_inventory
Wikidata_Query_Service,common_eval,SPARQL,https://www.wikidata.org/wiki/Wikidata:Data_access,,,,2026-07-22,URL_INVENTORY_ONLY_NOT_FULL_PAGE,none_typical,free_public,false,prompts_or_queries_possible,UNKNOWN,UNKNOWN,UNKNOWN,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,G3S_CONDITIONAL,Prompt20_inventory
ORKG_endpoint,firesparql,SPARQL,https://orkg.org/,,,,2026-07-22,URL_INVENTORY_ONLY_NOT_FULL_PAGE,unknown,unknown,false,prompts_or_queries_possible,UNKNOWN,UNKNOWN,UNKNOWN,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,G3S_CONDITIONAL,Prompt20_inventory
Falcon,cot,linker,https://labs.tib.eu/falcon/,,,,2026-07-22,URL_INVENTORY_ONLY_NOT_FULL_PAGE,unknown,unknown,false,prompts_or_queries_possible,UNKNOWN,UNKNOWN,UNKNOWN,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,G3S_CONDITIONAL,Prompt20_inventory
DBpedia_Spotlight,cot,linker,https://www.dbpedia-spotlight.org/,,,,2026-07-22,URL_INVENTORY_ONLY_NOT_FULL_PAGE,unknown,unknown,false,prompts_or_queries_possible,UNKNOWN,UNKNOWN,UNKNOWN,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,G3S_CONDITIONAL,Prompt20_inventory
Entity_Fishing,cot,linker,https://github.com/kermitt2/entity-fishing,,,,2026-07-22,URL_INVENTORY_ONLY_NOT_FULL_PAGE,unknown,unknown,false,prompts_or_queries_possible,UNKNOWN,UNKNOWN,UNKNOWN,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,G3S_CONDITIONAL,Prompt20_inventory
LangChain_Hub,mkg,prompt_hub,https://www.langchain.com/terms-of-service,,,,2026-07-22,URL_INVENTORY_ONLY_NOT_FULL_PAGE,auth,unknown,false,prompts_or_queries_possible,UNKNOWN,UNKNOWN,UNKNOWN,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,G3S_CONDITIONAL,Prompt20_inventory
SIB_endpoints,sparql_llm,domain_endpoint,https://www.sib.swiss/,,,,2026-07-22,URL_INVENTORY_ONLY_NOT_FULL_PAGE,unknown,unknown,false,prompts_or_queries_possible,UNKNOWN,UNKNOWN,UNKNOWN,SERVICE_TERMS_URL_VERIFIED_NOT_INTERPRETED,G3S_CONDITIONAL,Prompt20_inventory
